,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9758038222789764, 0.004204213619232178)","(0.9275969891016168, 0.008592509984185493)"
1,0,1,"(0.9804775714874268, 0.0006761848926544189)","(0.9794894716992297, 0.005938844872365902)"
2,0,2,"(0.8360461294651031, 0.0006042420864105225)","(0.8991495512452861, 0.0063028323527428085)"
3,0,3,"(0.2350347936153412, 0.000667572021484375)","(0.9228809787105086, 0.13891875756494393)"
4,0,4,"(0.9822131991386414, 0.0009608864784240723)","(0.9764052650133931, 0.005943891561337213)"
5,0,5,"(0.9795009791851044, 0.00046175718307495117)","(0.9746756570157091, 0.005415738576982155)"
6,0,6,"(0.9708032310009003, 0.0005575716495513916)","(0.9674476530057569, 0.005586750422583488)"
7,0,7,"(0.977338969707489, 0.01626378297805786)","(0.1722191543329201, 0.09724138171052525)"
8,0,8,"(0.9753796458244324, 0.041765570640563965)","(0.2699125067040212, 0.006860151229667359)"
9,0,9,"(0.9699063897132874, 0.025076866149902344)","(0.9061007172541778, 0.6047591301936275)"
10,1,0,"(0.9698003828525543, 0.9489749372005463)","(0.947805824340077, 0.9524155532107644)"
11,1,1,"(0.9766239821910858, 0.0005433559417724609)","(0.9545949005660477, 0.005352473315776788)"
12,1,2,"(0.966247022151947, 0.09483787417411804)","(0.9545759961339395, 0.9491247378609002)"
13,1,3,"(0.9741550981998444, 0.0004633665084838867)","(0.9770573893561761, 0.01868007573110354)"
14,1,4,"(0.9751735925674438, 0.8566023707389832)","(0.9728968575978485, 0.9454379884789834)"
15,1,5,"(0.9782904982566833, 0.08256453275680542)","(0.9768146714511793, 0.7854759143568988)"
16,1,6,"(0.9837746024131775, 0.004287302494049072)","(0.9772662834544524, 0.07072418283143893)"
17,1,7,"(0.9728256165981293, 0.0011362731456756592)","(0.9719515017908603, 0.005488774729944498)"
18,1,8,"(0.9782848954200745, 0.1659211814403534)","(0.9730337414300128, 0.08201133685582805)"
19,1,9,"(0.9772675335407257, 0.0011444091796875)","(0.9743445306599635, 0.005603623904702561)"
20,2,0,"(0.9735777676105499, 0.0009936094284057617)","(0.9553489483673977, 0.005769790542361001)"
21,2,1,"(0.9761564433574677, 0.06580287218093872)","(0.9664390254263666, 0.9255149948942042)"
22,2,2,"(0.9570210576057434, 0.000492393970489502)","(0.9323219605950083, 0.005313883506649786)"
23,2,3,"(0.967255711555481, 0.10870131850242615)","(0.9752687264188433, 0.9600196893287223)"
24,2,4,"(0.9659557938575745, 0.001071244478225708)","(0.9604500465451206, 0.00514038405261596)"
25,2,5,"(0.9821079969406128, 0.0005205869674682617)","(0.9772648214584906, 0.005479084891817458)"
26,2,6,"(0.9826052188873291, 0.0006718635559082031)","(0.9792792393645854, 0.004940624219125992)"
27,2,7,"(0.9401243031024933, 0.013557076454162598)","(0.9712755526363863, 0.8437657978781316)"
28,2,8,"(0.983369380235672, 0.006694138050079346)","(0.9784912064023137, 0.03414590772063092)"
29,2,9,"(0.9568588733673096, 0.021817684173583984)","(0.09187632590010174, 0.045223034201249325)"
30,3,0,"(0.9722433686256409, 0.00047209858894348145)","(0.9607496202242515, 0.005210489922573472)"
31,3,1,"(0.9795545041561127, 0.8562532067298889)","(0.9586415206599691, 0.9459498273425071)"
32,3,2,"(0.9759536683559418, 0.7638872861862183)","(0.9656493387088121, 0.5297036134034985)"
33,3,3,"(0.9825732111930847, 0.0005514621734619141)","(0.9804956578603937, 0.006727413450980026)"
34,3,4,"(0.9821384251117706, 0.0008457303047180176)","(0.9791460376235064, 0.0057374639675128215)"
35,3,5,"(0.9792572855949402, 0.9473014771938324)","(0.9475769618583538, 0.8385465121966498)"
36,3,6,"(0.9814021587371826, 0.0007236897945404053)","(0.9587145385798971, 0.005265455726651495)"
37,3,7,"(0.9802452623844147, 0.0010280311107635498)","(0.870378204331972, 0.006074792349477218)"
