,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9810618162155151, 0.0003902912139892578)","(0.9375119041683865, 0.005673307020965497)"
1,0,1,"(0.07068681716918945, 0.0008144080638885498)","(0.10301565977916344, 0.010648451079224507)"
2,0,2,"(0.9814886450767517, 0.00037035346031188965)","(0.9771138923018937, 0.005496716638589013)"
3,0,3,"(0.8240571618080139, 0.0004254579544067383)","(0.891751704851118, 0.004979329908610997)"
4,0,4,"(0.931855171918869, 0.07816186547279358)","(0.7655126703788557, 0.3896597944801391)"
5,0,5,"(0.9725774526596069, 0.00045233964920043945)","(0.971392139987112, 0.008402744707358035)"
6,0,6,"(0.9833314120769501, 0.006611049175262451)","(0.9712073472200748, 0.0600013792489893)"
7,0,7,"(0.9803494215011597, 0.0004290938377380371)","(0.9745020643548651, 0.016498686966913326)"
8,0,8,"(0.8264932334423065, 0.0013644397258758545)","(0.9574957707748023, 0.5971414078390305)"
9,0,9,"(0.9785331189632416, 0.0003796815872192383)","(0.9729987239276173, 0.0059590656935385395)"
10,1,0,"(0.9806777834892273, 0.9136851727962494)","(0.978470543449682, 0.9529867376460466)"
11,1,1,"(0.9753411114215851, 0.8368644118309021)","(0.9229713221766461, 0.7983702364226493)"
12,1,2,"(0.975890189409256, 0.08809450268745422)","(0.7868344828849387, 0.1061989344606514)"
13,1,3,"(0.9806884229183197, 0.0005264580249786377)","(0.9662760424483019, 0.006453906383888351)"
14,1,4,"(0.9734014272689819, 0.0006561577320098877)","(0.966119281100011, 0.005207895375446176)"
15,1,5,"(0.9765901565551758, 0.00044462084770202637)","(0.9788523046381532, 0.00908913778178088)"
16,1,6,"(0.9708475768566132, 0.00046631693840026855)","(0.9672901719122848, 0.005188186777711463)"
17,1,7,"(0.9811518788337708, 0.9208521544933319)","(0.9736380756258414, 0.35922184383112576)"
18,1,8,"(0.9812679886817932, 0.01964309811592102)","(0.9780741315696664, 0.008082639846659885)"
19,1,9,"(0.9763485193252563, 0.008223533630371094)","(0.9530537956529128, 0.09496636198791189)"
