,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9808996021747589, 0.00046008825302124023)","(0.9795475964716884, 0.005715562271822607)"
1,0,1,"(0.978429526090622, 0.0004951953887939453)","(0.956957003352227, 0.005822644727874676)"
2,0,2,"(0.8383818566799164, 0.0005947351455688477)","(0.9755480467118552, 0.01846230401234969)"
3,0,3,"(0.974085658788681, 0.20821446180343628)","(0.9493994013819973, 0.331238719673473)"
4,0,4,"(0.9798199534416199, 0.13049015402793884)","(0.9594352541056069, 0.1270905793194136)"
5,0,5,"(0.9782187938690186, 0.0004939436912536621)","(0.977890350627554, 0.005273694037751913)"
6,0,6,"(0.9826130270957947, 0.0004292726516723633)","(0.9784336875800242, 0.00505440564967146)"
7,0,7,"(0.9614963531494141, 0.0004962384700775146)","(0.9312241487493729, 0.009169392979653858)"
8,0,8,"(0.9753547310829163, 0.00044670701026916504)","(0.9681154108460119, 0.005247802612196618)"
9,0,9,"(0.9814617931842804, 0.0022981762886047363)","(0.979069004127594, 0.007526806715762225)"
10,1,0,"(0.9743488430976868, 0.0033291876316070557)","(0.9581063930219403, 0.010252215665674212)"
11,1,1,"(0.9812254309654236, 0.00045740604400634766)","(0.9804907512352214, 0.005157459944041824)"
12,1,2,"(0.9812878668308258, 0.0004878044128417969)","(0.9799337161552112, 0.005243453257418469)"
13,1,3,"(0.9828443825244904, 0.0004813671112060547)","(0.9444041114031587, 0.011957171099452168)"
14,1,4,"(0.9659881591796875, 0.0005410909652709961)","(0.8909388045395467, 0.006084597749268079)"
15,1,5,"(0.983745813369751, 0.0004437863826751709)","(0.977831530148823, 0.005289468973862114)"
16,1,6,"(0.9674977660179138, 0.0016093254089355469)","(0.8587455111931288, 0.032721688607894)"
17,1,7,"(0.9758834540843964, 0.0005345642566680908)","(0.9674654132978191, 0.011487311061269139)"
18,1,8,"(0.979564368724823, 0.00048613548278808594)","(0.9784080300681833, 0.004985928011370792)"
19,1,9,"(0.9805307388305664, 0.0007094144821166992)","(0.9502009818969834, 0.011375884460365835)"
20,2,0,"(0.9834769368171692, 0.0005256235599517822)","(0.9685279056125862, 0.0169527137049993)"
21,2,1,"(0.9766989052295685, 0.0006276369094848633)","(0.919284258694226, 0.02818073770874177)"
22,2,2,"(0.9756844639778137, 0.0004391968250274658)","(0.9657309794405636, 0.005223144996258007)"
23,2,3,"(0.982367753982544, 0.00042247772216796875)","(0.9791463735326449, 0.005446946879314984)"
24,2,4,"(0.9773208200931549, 0.15097090601921082)","(0.9731816973670204, 0.09594224104665179)"
25,2,5,"(0.9764120578765869, 0.0004585385322570801)","(0.9349879369038344, 0.0053906336240325285)"
26,2,6,"(0.9766887128353119, 0.0004973113536834717)","(0.963329742337123, 0.005107217266593115)"
27,2,7,"(0.9826137125492096, 0.0004729330539703369)","(0.9746351492154856, 0.005129178998225142)"
28,2,8,"(0.9705549776554108, 0.00045949220657348633)","(0.8007550209026512, 0.006856276576757109)"
29,2,9,"(0.9799489378929138, 0.07172411680221558)","(0.9731716710879502, 0.19439151902698348)"
30,3,0,"(0.9758850634098053, 0.0005995035171508789)","(0.9620172566123729, 0.04643876960048936)"
31,3,1,"(0.9730296730995178, 0.005944371223449707)","(0.9623833124582669, 0.07193975175198758)"
32,3,2,"(0.9395484030246735, 0.00044015049934387207)","(0.9740057616821967, 0.005722473742511277)"
