,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.002620607614517212, 0.0005203485488891602)","(0.033011296927611636, 0.005463338255437988)"
1,0,1,"(0.8414659202098846, 0.00047525763511657715)","(0.06539961674518077, 0.006925396360570583)"
2,0,2,"(0.9662283957004547, 0.00048220157623291016)","(0.9698778061740695, 0.005821913297478056)"
3,0,3,"(0.9781116247177124, 0.00046899914741516113)","(0.9763517234723166, 0.00659591770166281)"
4,0,4,"(0.9654906988143921, 0.0005063116550445557)","(0.9597158842677803, 0.013267968055173758)"
5,0,5,"(0.0009861886501312256, 0.0006891489028930664)","(0.11850220013384614, 0.008524382810100404)"
6,0,6,"(0.11104917526245117, 0.0005256831645965576)","(0.2432953134974288, 0.008812279315313174)"
7,0,7,"(0.010226458311080933, 0.00043585896492004395)","(0.047985717603898234, 0.005017230288950665)"
8,0,8,"(0.0010703504085540771, 0.0005567371845245361)","(0.005478588635728445, 0.005287417110747887)"
9,0,9,"(0.00048214197158813477, 0.0004267692565917969)","(0.007013611677329523, 0.007483608595445536)"
10,1,0,"(0.07578453421592712, 0.0004309415817260742)","(0.19884159918994973, 0.006137961304449988)"
11,1,1,"(0.005081266164779663, 0.0006392896175384521)","(0.6797204280789293, 0.1229114734709028)"
12,1,2,"(0.04695296287536621, 0.00045937299728393555)","(0.27726753051656616, 0.012187879719858087)"
13,1,3,"(0.0012688040733337402, 0.0005001723766326904)","(0.0069278957238344445, 0.004956190839028874)"
14,1,4,"(0.0006744563579559326, 0.0013814568519592285)","(0.0069356323656497975, 0.006768975086388254)"
15,1,5,"(0.9808812439441681, 0.0005017220973968506)","(0.9790742704637488, 0.006154558154068547)"
16,1,6,"(0.8284610211849213, 0.0004855990409851074)","(0.11616860573130977, 0.005396028172112781)"
17,1,7,"(0.0011195540428161621, 0.0005936622619628906)","(0.0053653136034267895, 0.006710842690445971)"
18,1,8,"(0.0008083581924438477, 0.0008091330528259277)","(0.005060711363662179, 0.006405657127734103)"
19,1,9,"(0.031125515699386597, 0.002102971076965332)","(0.13834097488205255, 0.0966322165154213)"
20,2,0,"(0.0006077587604522705, 0.0004278421401977539)","(0.0052061392262007155, 0.00513049068048172)"
21,2,1,"(0.0005694031715393066, 0.000529855489730835)","(0.869704880387043, 0.007303749386425573)"
22,2,2,"(0.9762139022350311, 0.003935396671295166)","(0.9772077213115669, 0.008373050453846833)"
23,2,3,"(0.002692312002182007, 0.0004953145980834961)","(0.016112048476945997, 0.00662271364832784)"
24,2,4,"(0.07998576760292053, 0.0005053579807281494)","(0.17306535086243388, 0.005169081997102723)"
25,2,5,"(0.04461762309074402, 0.0004292130470275879)","(0.1534829638614849, 0.005435038564046619)"
26,2,6,"(0.0006376206874847412, 0.0004762709140777588)","(0.009087832302312644, 0.00561743883527078)"
27,2,7,"(0.0006698369979858398, 0.0005741715431213379)","(0.005619420869049049, 0.007674607029611728)"
28,2,8,"(0.00295981764793396, 0.0006338655948638916)","(0.006705111100609815, 0.005210257596436974)"
29,2,9,"(0.7649754285812378, 0.0004406273365020752)","(0.9341754021821606, 0.019734365622930426)"
30,3,0,"(0.9546701610088348, 0.0009759068489074707)","(0.22682931266706158, 0.03430397634843071)"
31,3,1,"(0.9417817294597626, 0.00048595666885375977)","(0.9334720435404437, 0.007207351485666954)"
32,3,2,"(0.0010575950145721436, 0.0005149245262145996)","(0.011933421279943254, 0.0051653929425902745)"
33,3,3,"(0.002874314785003662, 0.0006100237369537354)","(0.005313470178271476, 0.006832524159143245)"
34,3,4,"(0.001997143030166626, 0.003919273614883423)","(0.005416547695579067, 0.00888599956661466)"
35,3,5,"(0.0025365352630615234, 0.0005701780319213867)","(0.0242508777669162, 0.006269935251053553)"
36,3,6,"(0.007189422845840454, 0.0005502700805664062)","(0.0069583369437468895, 0.005071738734550852)"
37,3,7,"(0.0005362331867218018, 0.00042170286178588867)","(0.005222136717649973, 0.005642301752372599)"
38,3,8,"(0.0006791651248931885, 0.0010263621807098389)","(0.006586029990680301, 0.005261585947673154)"
39,3,9,"(0.0109940767288208, 0.000533372163772583)","(0.013506209094188242, 0.0051729478961375945)"
40,4,0,"(0.9689720869064331, 0.0004776418209075928)","(0.9623518047146392, 0.007797454785009417)"
41,4,1,"(0.0820169448852539, 0.00045686960220336914)","(0.7350020847685068, 0.009204867993941428)"
42,4,2,"(0.0006468892097473145, 0.0004488825798034668)","(0.10078951914031949, 0.00533917989647484)"
43,4,3,"(0.9813194274902344, 0.0004986822605133057)","(0.9796500012015162, 0.005338931734239033)"
44,4,4,"(0.7963102459907532, 0.00047406554222106934)","(0.9218082680968619, 0.007427655580575201)"
45,4,5,"(0.0008051395416259766, 0.00040653347969055176)","(0.0060910029308708135, 0.005027054229252114)"
46,4,6,"(0.7759178876876831, 0.001224607229232788)","(0.9012192187888397, 0.03579844161400503)"
47,4,7,"(0.001081913709640503, 0.000447005033493042)","(0.005421924321930249, 0.005063475576893903)"
48,4,8,"(0.10979825258255005, 0.00047716498374938965)","(0.9766338162977346, 0.005123201566259143)"
49,4,9,"(0.0020637214183807373, 0.0004330575466156006)","(0.11994347174785619, 0.005554587551542037)"
50,5,0,"(0.012013673782348633, 0.0005106925964355469)","(0.09151141508113683, 0.010198194641440157)"
51,5,1,"(0.9821380376815796, 0.0004750192165374756)","(0.9777375537480175, 0.005670139203263957)"
52,5,2,"(0.003809988498687744, 0.0004509091377258301)","(0.011809079912735377, 0.005534466476701004)"
53,5,3,"(0.977175772190094, 0.16637560725212097)","(0.9738693417287895, 0.5141165728283418)"
54,5,4,"(0.9715061783790588, 0.14447727799415588)","(0.967746119708027, 0.05930868614267884)"
55,5,5,"(0.9730397164821625, 0.00048226118087768555)","(0.9745554045357951, 0.006184470510160116)"
56,5,6,"(0.976700484752655, 0.0004468262195587158)","(0.9546393362382486, 0.005102785322657511)"
57,5,7,"(0.011023849248886108, 0.0005511641502380371)","(0.20442317981701716, 0.006945811035394891)"
58,5,8,"(0.003018587827682495, 0.0005564391613006592)","(0.9020062915341313, 0.012267195852228333)"
59,5,9,"(0.9508891105651855, 0.0017447173595428467)","(0.11150704197041914, 0.006727378401771016)"
60,6,0,"(0.8034653663635254, 0.00045478343963623047)","(0.9425716324822936, 0.005732670354080042)"
61,6,1,"(0.9795009195804596, 0.0005528628826141357)","(0.9484404347370982, 0.00799666352017401)"
62,6,2,"(0.0005919337272644043, 0.00047579407691955566)","(0.006068513402578044, 0.005060562508611542)"
63,6,3,"(0.00047346949577331543, 0.0005054175853729248)","(0.005090244086241207, 0.00541809691511937)"
64,6,4,"(0.0029566287994384766, 0.0004913806915283203)","(0.006960683309484637, 0.0057135356872679245)"
65,6,5,"(0.9791508615016937, 0.0004780590534210205)","(0.9639971131974421, 0.005201022338652082)"
66,6,6,"(0.0006729960441589355, 0.0004127919673919678)","(0.005015904581223353, 0.005166096234542136)"
67,6,7,"(0.00813823938369751, 0.00041919946670532227)","(0.09921827724545125, 0.005374810970241037)"
68,6,8,"(0.96676105260849, 0.0004397928714752197)","(0.9584889768381717, 0.005905324820071982)"
