,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.012109756469726562, 0.0004159212112426758)","(0.12667681971629935, 0.00575683387258235)"
1,0,1,"(0.0021799206733703613, 0.004095584154129028)","(0.009939594998064336, 0.012274951943954959)"
2,0,2,"(0.9823508560657501, 0.8314343094825745)","(0.971085289876241, 0.19756428438812085)"
3,0,3,"(0.975644588470459, 0.019715994596481323)","(0.9759677787444611, 0.01659089047397832)"
4,0,4,"(0.9662626087665558, 0.0005456805229187012)","(0.933591504420416, 0.007140868593575868)"
5,0,5,"(0.0006935000419616699, 0.0004832744598388672)","(0.00558575180544631, 0.005061751069584578)"
6,0,6,"(0.980418473482132, 0.0005278885364532471)","(0.9781753071299693, 0.005403239505974436)"
7,0,7,"(0.02950921654701233, 0.0004891157150268555)","(0.03055431859296759, 0.00528558916155721)"
8,0,8,"(0.005627930164337158, 0.00048410892486572266)","(0.017332056032955068, 0.005471261723957126)"
9,0,9,"(0.0039176344871521, 0.0004394948482513428)","(0.03131183778507014, 0.005703594652975025)"
10,1,0,"(0.9731642603874207, 0.00046512484550476074)","(0.9235204425195602, 0.005277412468395094)"
11,1,1,"(0.2431359887123108, 0.0004743635654449463)","(0.885213587843234, 0.0053625177530452275)"
12,1,2,"(0.0009314417839050293, 0.00048536062240600586)","(0.004973802334831583, 0.006055288907989532)"
13,1,3,"(0.0005545318126678467, 0.0004075467586517334)","(0.005213323152991392, 0.0052610968094067385)"
14,1,4,"(0.0556943416595459, 0.0005112290382385254)","(0.912470556481716, 0.0112901762093486)"
15,1,5,"(0.0008722245693206787, 0.00043824315071105957)","(0.2847153473625956, 0.007087610862469471)"
16,1,6,"(0.003489464521408081, 0.0005164146423339844)","(0.007431650225975533, 0.007034161319557941)"
17,1,7,"(0.9730885922908783, 0.0004769265651702881)","(0.9603690018397106, 0.010034073590752942)"
18,1,8,"(0.0006031394004821777, 0.00041735172271728516)","(0.01882048556593059, 0.006569154771659183)"
19,1,9,"(0.08201369643211365, 0.0004216432571411133)","(0.8608104120483345, 0.005094851301921725)"
20,2,0,"(0.08691313862800598, 0.00048279762268066406)","(0.350645034299901, 0.009935832351277174)"
21,2,1,"(0.7852182388305664, 0.00087013840675354)","(0.6475924763782196, 0.013699202921359071)"
22,2,2,"(0.9593138098716736, 0.0005314052104949951)","(0.9611974153217364, 0.013135418511876489)"
23,2,3,"(0.0018458962440490723, 0.0005143880844116211)","(0.021024927461024245, 0.008373458256297676)"
24,2,4,"(0.9627296328544617, 0.0005472898483276367)","(0.9753059799883388, 0.0058060733697158405)"
25,2,5,"(0.0006445050239562988, 0.0004304051399230957)","(0.0058526566708847014, 0.005716814342834102)"
26,2,6,"(0.000778883695602417, 0.00047263503074645996)","(0.005438338814864742, 0.005690750706507969)"
27,2,7,"(0.9748395085334778, 0.0005256831645965576)","(0.9725924886864014, 0.011134595938253814)"
28,2,8,"(0.9832370579242706, 0.000489652156829834)","(0.967881747155175, 0.006660912618833691)"
29,2,9,"(0.0005353391170501709, 0.0004239678382873535)","(0.009407704660786836, 0.004964769738408125)"
30,3,0,"(0.9705502688884735, 0.0004968941211700439)","(0.9568440536168137, 0.011577160796652719)"
31,3,1,"(0.9743053615093231, 0.0004285573959350586)","(0.9626642188469383, 0.005836799996006359)"
32,3,2,"(0.978448897600174, 0.00045162439346313477)","(0.9707508733682985, 0.005866631391731203)"
33,3,3,"(0.9779866933822632, 0.0004731714725494385)","(0.9619742403627112, 0.005769369309685387)"
34,3,4,"(0.977502316236496, 0.00046887993812561035)","(0.973770908882988, 0.005101294337962979)"
35,3,5,"(0.0007990896701812744, 0.0004684627056121826)","(0.006127660962411674, 0.0052876026990403)"
36,3,6,"(0.001896977424621582, 0.0004553794860839844)","(0.006954538946870574, 0.005458749116217122)"
37,3,7,"(0.12535631656646729, 0.0005085766315460205)","(0.1583889991020795, 0.007506761118852995)"
38,3,8,"(0.060581743717193604, 0.0008221566677093506)","(0.49807192141808343, 0.01709738159889031)"
39,3,9,"(0.07205799221992493, 0.0005130767822265625)","(0.9529805310893812, 0.016264913143796092)"
40,4,0,"(0.044515401124954224, 0.0004559159278869629)","(0.1402620278651937, 0.006023841599158119)"
41,4,1,"(0.0022037923336029053, 0.0004240870475769043)","(0.005472221819680263, 0.005075515347667082)"
42,4,2,"(0.017944306135177612, 0.0004487037658691406)","(0.006476228441544856, 0.005229627869107124)"
43,4,3,"(0.001132667064666748, 0.0004190802574157715)","(0.010022991249434699, 0.007121995193400789)"
44,4,4,"(0.001372307538986206, 0.018164485692977905)","(0.007822802967084647, 0.005807047827900812)"
45,4,5,"(0.9573740661144257, 0.00048530101776123047)","(0.9507402378236668, 0.00543453338901948)"
46,4,6,"(0.0006740987300872803, 0.002930581569671631)","(0.005711707497627077, 0.009564493275059935)"
47,4,7,"(0.2421075701713562, 0.0004481375217437744)","(0.05667136257774418, 0.005347317357673901)"
48,4,8,"(0.0006633400917053223, 0.0004169344902038574)","(0.005793862402464878, 0.0053120464564430135)"
49,4,9,"(0.003450840711593628, 0.0004957616329193115)","(0.01846742448926699, 0.00563560413483363)"
50,5,0,"(0.9805050492286682, 0.000497967004776001)","(0.9742814003384668, 0.03650464927086302)"
51,5,1,"(0.0016190409660339355, 0.0004229545593261719)","(0.02105045096674454, 0.0060820923192360585)"
52,5,2,"(0.0005005300045013428, 0.0004273653030395508)","(0.005590810290410005, 0.005341254272372474)"
53,5,3,"(0.98019739985466, 0.0017734169960021973)","(0.9770221483729564, 0.11271793493939491)"
54,5,4,"(0.0006144344806671143, 0.0004850029945373535)","(0.005168204230347492, 0.005437137086652557)"
55,5,5,"(0.0021487176418304443, 0.00046959519386291504)","(0.029196079641159858, 0.006298963052725842)"
56,5,6,"(0.9123916923999786, 0.00046193599700927734)","(0.0619523549153039, 0.006551819690709962)"
57,5,7,"(0.9737515151500702, 0.0008363425731658936)","(0.9638110334208297, 0.007581039503265356)"
58,5,8,"(0.0008692443370819092, 0.00043836236000061035)","(0.007192626756989435, 0.006602410321825608)"
59,5,9,"(0.9822487533092499, 0.0004468858242034912)","(0.9798005819890386, 0.005266067660451792)"
60,6,0,"(0.0009692609310150146, 0.0005053579807281494)","(0.011757890623233253, 0.005675618109472476)"
61,6,1,"(0.0009627342224121094, 0.00043973326683044434)","(0.005793486113697793, 0.005420970431842318)"
62,6,2,"(0.0004913806915283203, 0.00041297078132629395)","(0.0075475483288887195, 0.005720322677471408)"
63,6,3,"(0.0007405579090118408, 0.009517639875411987)","(0.005584729532546809, 0.008423091363108488)"
64,6,4,"(0.8173993825912476, 0.009164690971374512)","(0.9046071330689592, 0.006897031497174009)"
65,6,5,"(0.014217138290405273, 0.00041231513023376465)","(0.20247002451729784, 0.005466458572856925)"
66,6,6,"(0.0010877251625061035, 0.0004934072494506836)","(0.008573865073035349, 0.005652627009652332)"
67,6,7,"(0.0010221004486083984, 0.00045353174209594727)","(0.005040418533868174, 0.005270225687150984)"
68,6,8,"(0.0017470717430114746, 0.000422060489654541)","(0.041794604891941645, 0.0057306703415732786)"
69,6,9,"(0.9792385995388031, 0.00043192505836486816)","(0.9735895291647302, 0.00668984322735865)"
70,7,0,"(0.0028384923934936523, 0.1520671546459198)","(0.977632059643703, 0.20139816616346273)"
71,7,1,"(0.9797786474227905, 0.0004386007785797119)","(0.9762590818176952, 0.00899760620875847)"
72,7,2,"(0.00529325008392334, 0.0004658997058868408)","(0.06873332206988142, 0.007106599033966216)"
73,7,3,"(0.9773223400115967, 0.006814450025558472)","(0.9594972578280297, 0.023487377691467276)"
74,7,4,"(0.9724692702293396, 0.0025587081909179688)","(0.8577605566065364, 0.01735539590638956)"
75,7,5,"(0.7714183032512665, 0.0031706392765045166)","(0.9311265112866883, 0.024657738547691436)"
76,7,6,"(0.9765574932098389, 0.0005532205104827881)","(0.9499258131005843, 0.007730916950449859)"
77,7,7,"(0.01680094003677368, 0.00042426586151123047)","(0.8917283427272166, 0.005482692535682654)"
78,7,8,"(0.9812262952327728, 0.00046506524085998535)","(0.964461233396475, 0.007474999958607649)"
79,7,9,"(0.005655258893966675, 0.00046750903129577637)","(0.015585044526359436, 0.0069325557200383085)"
80,8,0,"(0.061832308769226074, 0.0004922151565551758)","(0.09452458536879657, 0.006531419765812157)"
81,8,1,"(0.8388925790786743, 0.0006089508533477783)","(0.9595434395763827, 0.007101079840490073)"
82,8,2,"(0.002254992723464966, 0.0004913210868835449)","(0.8724641874441833, 0.007248853356604213)"
83,8,3,"(0.8409609198570251, 0.0037410855293273926)","(0.9314259378906575, 0.027843752007764042)"
84,8,4,"(0.0007990896701812744, 0.0022991299629211426)","(0.006127660962411674, 0.008074271881813937)"
85,8,5,"(0.0010753870010375977, 0.0004073679447174072)","(0.05472924593128926, 0.006186592733075011)"
