,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9741779565811157, 0.00048041343688964844)","(0.9550738405854197, 0.017519239537491915)"
1,0,1,"(0.0004706084728240967, 0.0005020797252655029)","(0.005319681032393268, 0.0056510834547948705)"
2,0,2,"(0.971692681312561, 0.0004588961601257324)","(0.9734110703008855, 0.005723903709731844)"
3,0,3,"(0.000588148832321167, 0.0005142092704772949)","(0.00935592565401399, 0.00574137413174559)"
4,0,4,"(0.011871576309204102, 0.0010758638381958008)","(0.031646205417306776, 0.014340858347088753)"
5,0,5,"(0.9451992511749268, 0.027839481830596924)","(0.8889288197571762, 0.09158747847323352)"
6,0,6,"(0.0011655986309051514, 0.0004961788654327393)","(0.005554432152324889, 0.00533739237183052)"
7,0,7,"(0.00282171368598938, 0.0005191564559936523)","(0.010226574275246205, 0.005733232982625945)"
8,0,8,"(0.06409037113189697, 0.003628849983215332)","(0.220425501266488, 0.01069136683572486)"
9,0,9,"(0.0007806718349456787, 0.003397524356842041)","(0.0057087538311448825, 0.006310886030132869)"
10,1,0,"(0.007041186094284058, 0.0004538297653198242)","(0.022148038801959705, 0.006026248916891475)"
11,1,1,"(0.0015759766101837158, 0.0004228949546813965)","(0.061614975096231074, 0.005466987440073097)"
12,1,2,"(0.010488420724868774, 0.00043973326683044434)","(0.8739291567675012, 0.005132611005970987)"
13,1,3,"(0.0717112123966217, 0.0004717409610748291)","(0.5802173091043907, 0.0060018431915741695)"
14,1,4,"(0.15594089031219482, 0.0004151463508605957)","(0.7326724414234463, 0.005564217558999584)"
15,1,5,"(0.0017311573028564453, 0.00047639012336730957)","(0.012612360056859924, 0.005616240361907524)"
16,1,6,"(0.9306897819042206, 0.00043341517448425293)","(0.8921158332766808, 0.006127019213569108)"
17,1,7,"(0.9811584055423737, 0.0005230903625488281)","(0.9777598789114702, 0.008362822246726022)"
18,1,8,"(0.008199721574783325, 0.0004622936248779297)","(0.13805632326784084, 0.006044539137394301)"
19,1,9,"(0.04273629188537598, 0.00046050548553466797)","(0.33446367673382066, 0.006416984169309118)"
20,2,0,"(0.06123456358909607, 0.0004093348979949951)","(0.27394610033360856, 0.0051067617866192875)"
21,2,1,"(0.000494539737701416, 0.00042313337326049805)","(0.005549624815089521, 0.00560617790171534)"
22,2,2,"(0.01919800043106079, 0.000453948974609375)","(0.05077801194005057, 0.005508607831703371)"
23,2,3,"(0.0008188188076019287, 0.00043323636054992676)","(0.006696833671655741, 0.005478352215303236)"
24,2,4,"(0.08759406208992004, 0.0007196366786956787)","(0.010764761300840042, 0.005107786673396374)"
