,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9814866185188293, 0.007706820964813232)","(0.9645141579964785, 0.06871963426260667)"
1,0,1,"(0.9788833856582642, 0.0008904635906219482)","(0.9743028983129575, 0.11359032183524294)"
2,0,2,"(0.8392953872680664, 0.8363158702850342)","(0.9716508375451126, 0.9561855478906109)"
3,0,3,"(0.9422612190246582, 0.019863665103912354)","(0.8828305083886381, 0.09125429986740959)"
4,0,4,"(0.9766652584075928, 0.024799376726150513)","(0.9100831045159359, 0.09698853091496187)"
5,0,5,"(0.9753625690937042, 0.004869908094406128)","(0.8449628541274424, 0.06797273644724168)"
6,0,6,"(0.9737746119499207, 0.00045055150985717773)","(0.8974078127371817, 0.006636568652352658)"
7,0,7,"(0.9732926785945892, 0.0010547935962677002)","(0.9471416768525972, 0.005345831370370687)"
8,0,8,"(0.9766821265220642, 0.9131246209144592)","(0.7297535158385627, 0.253333423970959)"
9,0,9,"(0.9747126996517181, 0.027182698249816895)","(0.9176473374316039, 0.11026975738338292)"
10,1,0,"(0.9736979901790619, 0.03694981336593628)","(0.9657321314174514, 0.8460409862390407)"
11,1,1,"(0.9809397459030151, 0.0004608035087585449)","(0.958343614569876, 0.004918214838426258)"
12,1,2,"(0.9801489412784576, 0.0008912384510040283)","(0.9807244276227951, 0.026517608935311982)"
13,1,3,"(0.9818187355995178, 0.0004375874996185303)","(0.9760058757205177, 0.004867334197925261)"
14,1,4,"(0.9780514538288116, 0.81465283036232)","(0.9611727317015785, 0.8943446507885876)"
15,1,5,"(0.983115017414093, 0.0005590617656707764)","(0.9802266005470437, 0.006807773305086325)"
16,1,6,"(0.9664709270000458, 0.0005424618721008301)","(0.8651971537621285, 0.012185795984522397)"
17,1,7,"(0.9837952554225922, 0.0005517005920410156)","(0.9744132885443683, 0.0066067026212374745)"
18,1,8,"(0.9742884933948517, 0.09288778901100159)","(0.955957887267333, 0.42601750990702403)"
19,1,9,"(0.9676790833473206, 0.0005370080471038818)","(0.9397339884946901, 0.005039043697417542)"
20,2,0,"(0.9763275384902954, 0.06526470184326172)","(0.8928083964759501, 0.12585868312108722)"
