,Unnamed: 0,conversation id,turn,score distilbert,score roberta,distilbert_input_score,distilbert_output_score,roberta_input_score,roberta_output_score,distilbert_input_label,distilbert_output_label,roberta_input_label,roberta_output_label
0,0,0,0,"(0.9705274105072021, 0.0009994208812713623)","(0.8804509214764848, 0.015756406310252196)",0.9705274105072021,0.0009994208812713623,0.8804509214764848,0.015756406310252196,1,0,1,0
1,1,0,1,"(0.9132547676563263, 0.09495872259140015)","(0.28328503874053906, 0.7194576674927319)",0.9132547676563263,0.09495872259140015,0.28328503874053906,0.7194576674927319,1,0,0,1
2,2,0,2,"(0.9804392158985138, 0.2076455056667328)","(0.9470673959916003, 0.18369940648474528)",0.9804392158985138,0.2076455056667328,0.9470673959916003,0.18369940648474528,1,0,1,0
3,3,0,3,"(0.9628936648368835, 0.8313547670841217)","(0.9157118071387368, 0.23755304610426412)",0.9628936648368835,0.8313547670841217,0.9157118071387368,0.23755304610426412,1,1,1,0
4,4,0,4,"(0.0246964693069458, 0.00047644972801208496)","(0.1796484624122886, 0.0054153045279808285)",0.0246964693069458,0.00047644972801208496,0.1796484624122886,0.0054153045279808285,0,0,0,0
5,5,0,5,"(0.0006223320960998535, 0.00038057565689086914)","(0.005288146961528466, 0.005342685780362025)",0.0006223320960998535,0.00038057565689086914,0.005288146961528466,0.005342685780362025,0,0,0,0
6,6,0,6,"(0.0009140968322753906, 0.00047448277473449707)","(0.09899661328955443, 0.005432026247098007)",0.0009140968322753906,0.00047448277473449707,0.09899661328955443,0.005432026247098007,0,0,0,0
7,7,0,7,"(0.004462748765945435, 0.0004432499408721924)","(0.02538878576192739, 0.0067082622376023115)",0.004462748765945435,0.0004432499408721924,0.02538878576192739,0.0067082622376023115,0,0,0,0
8,8,0,8,"(0.0007156133651733398, 0.0006976425647735596)","(0.008624080510234732, 0.0060008220215973995)",0.0007156133651733398,0.0006976425647735596,0.008624080510234732,0.0060008220215973995,0,0,0,0
9,9,0,9,"(0.0013751685619354248, 0.0005671977996826172)","(0.00582620658080071, 0.005074838769662358)",0.0013751685619354248,0.0005671977996826172,0.00582620658080071,0.005074838769662358,0,0,0,0
10,10,1,0,"(0.010286509990692139, 0.06698727607727051)","(0.02619800399899217, 0.5620128934337836)",0.010286509990692139,0.06698727607727051,0.02619800399899217,0.5620128934337836,0,0,0,1
11,11,1,1,"(0.049474895000457764, 0.051937371492385864)","(0.4801437488531745, 0.20699791701161174)",0.049474895000457764,0.051937371492385864,0.4801437488531745,0.20699791701161174,0,0,0,0
12,12,1,2,"(0.9772908389568329, 0.037307798862457275)","(0.9702308037916277, 0.6400701922580218)",0.9772908389568329,0.037307798862457275,0.9702308037916277,0.6400701922580218,1,0,1,1
13,13,1,3,"(0.001077115535736084, 0.0008332431316375732)","(0.02045812178411176, 0.016974747914301872)",0.001077115535736084,0.0008332431316375732,0.02045812178411176,0.016974747914301872,0,0,0,0
14,14,1,4,"(0.9540817439556122, 0.0006494522094726562)","(0.9569825982090217, 0.005394198693665368)",0.9540817439556122,0.0006494522094726562,0.9569825982090217,0.005394198693665368,1,0,1,0
15,15,1,5,"(0.0006306469440460205, 0.0009050071239471436)","(0.0053763100691783545, 0.005393704968164121)",0.0006306469440460205,0.0009050071239471436,0.0053763100691783545,0.005393704968164121,0,0,0,0
16,16,1,6,"(0.022914588451385498, 0.0004898309707641602)","(0.04638335203237214, 0.0055614056646692235)",0.022914588451385498,0.0004898309707641602,0.04638335203237214,0.0055614056646692235,0,0,0,0
17,17,1,7,"(0.9553672075271606, 0.00041413307189941406)","(0.9273506533881954, 0.005193732087262237)",0.9553672075271606,0.00041413307189941406,0.9273506533881954,0.005193732087262237,1,0,1,0
18,18,1,8,"(0.0013900995254516602, 0.00048083066940307617)","(0.07549679642013112, 0.0072868869265139335)",0.0013900995254516602,0.00048083066940307617,0.07549679642013112,0.0072868869265139335,0,0,0,0
19,19,1,9,"(0.8395563364028931, 0.103203684091568)","(0.21980893758349557, 0.8315230207932407)",0.8395563364028931,0.103203684091568,0.21980893758349557,0.8315230207932407,1,0,0,1
20,20,2,0,"(0.8136155307292938, 0.0005333125591278076)","(0.8708164865776339, 0.006658121012270945)",0.8136155307292938,0.0005333125591278076,0.8708164865776339,0.006658121012270945,1,0,1,0
21,21,2,1,"(0.15028882026672363, 0.00048285722732543945)","(0.9590693215140356, 0.0073999838316853115)",0.15028882026672363,0.00048285722732543945,0.9590693215140356,0.0073999838316853115,0,0,1,0
22,22,2,2,"(0.0021748244762420654, 0.0004512667655944824)","(0.00488947576346737, 0.004954979920994556)",0.0021748244762420654,0.0004512667655944824,0.00488947576346737,0.004954979920994556,0,0,0,0
23,23,2,3,"(0.002821594476699829, 0.00044906139373779297)","(0.9785044142936532, 0.006060695332364917)",0.002821594476699829,0.00044906139373779297,0.9785044142936532,0.006060695332364917,0,0,1,0
24,24,2,4,"(0.004216581583023071, 0.02747488021850586)","(0.07791118966422157, 0.13352614987913555)",0.004216581583023071,0.02747488021850586,0.07791118966422157,0.13352614987913555,0,0,0,0
25,25,2,5,"(0.9764242172241211, 0.007826507091522217)","(0.8994071170071732, 0.0052182837566636395)",0.9764242172241211,0.007826507091522217,0.8994071170071732,0.0052182837566636395,1,0,1,0
26,26,2,6,"(0.0006532371044158936, 0.00041040778160095215)","(0.005241252577419709, 0.0072241851260521454)",0.0006532371044158936,0.00041040778160095215,0.005241252577419709,0.0072241851260521454,0,0,0,0
27,27,2,7,"(0.0042182207107543945, 0.012286484241485596)","(0.0072682187364145195, 0.007077845799621962)",0.0042182207107543945,0.012286484241485596,0.0072682187364145195,0.007077845799621962,0,0,0,0
28,28,2,8,"(0.06202489137649536, 0.0050435662269592285)","(0.10943203896150491, 0.071446068643758)",0.06202489137649536,0.0050435662269592285,0.10943203896150491,0.071446068643758,0,0,0,0
29,29,2,9,"(0.8168236613273621, 0.003620624542236328)","(0.6555421453628353, 0.26200577973073674)",0.8168236613273621,0.003620624542236328,0.6555421453628353,0.26200577973073674,1,0,1,0
30,30,3,0,"(0.0709318220615387, 0.0006547272205352783)","(0.1151314021855422, 0.005538499066951208)",0.0709318220615387,0.0006547272205352783,0.1151314021855422,0.005538499066951208,0,0,0,0
31,31,3,1,"(0.011816680431365967, 0.0004628300666809082)","(0.04467351304143856, 0.0051950651201029905)",0.011816680431365967,0.0004628300666809082,0.04467351304143856,0.0051950651201029905,0,0,0,0
32,32,3,2,"(0.0025014281272888184, 0.000428617000579834)","(0.0080731453470992, 0.0052084438296802595)",0.0025014281272888184,0.000428617000579834,0.0080731453470992,0.0052084438296802595,0,0,0,0
33,33,3,3,"(0.0839833915233612, 0.020966529846191406)","(0.7466419741665759, 0.012402104407309858)",0.0839833915233612,0.020966529846191406,0.7466419741665759,0.012402104407309858,0,0,1,0
34,34,3,4,"(0.0005918145179748535, 0.9697953760623932)","(0.1480974395990086, 0.9710018941878933)",0.0005918145179748535,0.9697953760623932,0.1480974395990086,0.9710018941878933,0,1,0,1
35,35,3,5,"(0.0009399950504302979, 0.0006572306156158447)","(0.005481358887864284, 0.005319562446712257)",0.0009399950504302979,0.0006572306156158447,0.005481358887864284,0.005319562446712257,0,0,0,0
36,36,3,6,"(0.0009150505065917969, 0.0005966424942016602)","(0.12809157675406008, 0.005929725466930319)",0.0009150505065917969,0.0005966424942016602,0.12809157675406008,0.005929725466930319,0,0,0,0
37,37,3,7,"(0.002487868070602417, 0.0005930662155151367)","(0.013970968079031303, 0.00885257084037638)",0.002487868070602417,0.0005930662155151367,0.013970968079031303,0.00885257084037638,0,0,0,0
38,38,3,8,"(0.00044783949851989746, 0.0007655322551727295)","(0.0056608663850312374, 0.005513199438291383)",0.00044783949851989746,0.0007655322551727295,0.0056608663850312374,0.005513199438291383,0,0,0,0
39,39,3,9,"(0.0007511377334594727, 0.0005474090576171875)","(0.005221492709817851, 0.005273694037751913)",0.0007511377334594727,0.0005474090576171875,0.005221492709817851,0.005273694037751913,0,0,0,0
40,40,4,0,"(0.020382165908813477, 0.00047585368156433105)","(0.00955669541912664, 0.0060207018152047004)",0.020382165908813477,0.00047585368156433105,0.00955669541912664,0.0060207018152047004,0,0,0,0
41,41,4,1,"(0.0020960569381713867, 0.00047448277473449707)","(0.020924371637632236, 0.01130961561002525)",0.0020960569381713867,0.00047448277473449707,0.020924371637632236,0.01130961561002525,0,0,0,0
42,42,4,2,"(0.0170992910861969, 0.06311535835266113)","(0.12163217661776729, 0.07038046502140242)",0.0170992910861969,0.06311535835266113,0.12163217661776729,0.07038046502140242,0,0,0,0
43,43,4,3,"(0.9449474215507507, 0.046636730432510376)","(0.20802286851042787, 0.11964763755567118)",0.9449474215507507,0.046636730432510376,0.20802286851042787,0.11964763755567118,1,0,0,0
44,44,4,4,"(0.0015414953231811523, 0.0005836188793182373)","(0.041848317534764826, 0.005778857183855677)",0.0015414953231811523,0.0005836188793182373,0.041848317534764826,0.005778857183855677,0,0,0,0
45,45,4,5,"(0.9655956923961639, 0.0005429983139038086)","(0.9562455793671871, 0.005798728877865463)",0.9655956923961639,0.0005429983139038086,0.9562455793671871,0.005798728877865463,1,0,1,0
46,46,4,6,"(0.004933774471282959, 0.0004228949546813965)","(0.005484978425133353, 0.006506171157551749)",0.004933774471282959,0.0004228949546813965,0.005484978425133353,0.006506171157551749,0,0,0,0
47,47,4,7,"(0.975384920835495, 0.0005364716053009033)","(0.9771973959075955, 0.0060403435962542475)",0.975384920835495,0.0005364716053009033,0.9771973959075955,0.0060403435962542475,1,0,1,0
48,48,4,8,"(0.0010233521461486816, 0.0005667805671691895)","(0.010983103860142285, 0.005242431132419735)",0.0010233521461486816,0.0005667805671691895,0.010983103860142285,0.005242431132419735,0,0,0,0
49,49,4,9,"(0.0008709728717803955, 0.0003764033317565918)","(0.006520231812991944, 0.0050077461893047225)",0.0008709728717803955,0.0003764033317565918,0.006520231812991944,0.0050077461893047225,0,0,0,0
50,50,5,0,"(0.9363271594047546, 0.0007908344268798828)","(0.9186764655134229, 0.08429630850967446)",0.9363271594047546,0.0007908344268798828,0.9186764655134229,0.08429630850967446,1,0,1,0
51,51,5,1,"(0.13432973623275757, 0.004054605960845947)","(0.12356697198863209, 0.12298363869432)",0.13432973623275757,0.004054605960845947,0.12356697198863209,0.12298363869432,0,0,0,0
52,52,5,2,"(0.23888888955116272, 0.001234680414199829)","(0.10794583982844391, 0.04879268354842237)",0.23888888955116272,0.001234680414199829,0.10794583982844391,0.04879268354842237,0,0,0,0
53,53,5,3,"(0.18304139375686646, 0.011724919080734253)","(0.1559743774406885, 0.16821931685444003)",0.18304139375686646,0.011724919080734253,0.1559743774406885,0.16821931685444003,0,0,0,0
54,54,5,4,"(0.7700589001178741, 0.0004787147045135498)","(0.9132523502585399, 0.006188516256124978)",0.7700589001178741,0.0004787147045135498,0.9132523502585399,0.006188516256124978,1,0,1,0
55,55,5,5,"(0.0005871951580047607, 0.0006105005741119385)","(0.005381909869950779, 0.005480623309898962)",0.0005871951580047607,0.0006105005741119385,0.005381909869950779,0.005480623309898962,0,0,0,0
56,56,5,6,"(0.0007329583168029785, 0.0004850029945373535)","(0.01923355734891748, 0.04373502253269723)",0.0007329583168029785,0.0004850029945373535,0.01923355734891748,0.04373502253269723,0,0,0,0
57,57,5,7,"(0.0007728934288024902, 0.00045984983444213867)","(0.005893632678645174, 0.004966880832190682)",0.0007728934288024902,0.00045984983444213867,0.005893632678645174,0.004966880832190682,0,0,0,0
58,58,5,8,"(0.0020012259483337402, 0.0009404122829437256)","(0.007120676922984121, 0.005214888761844833)",0.0020012259483337402,0.0009404122829437256,0.007120676922984121,0.005214888761844833,0,0,0,0
59,59,5,9,"(0.0006935000419616699, 0.0005255639553070068)","(0.00558575180544631, 0.00520422073252957)",0.0006935000419616699,0.0005255639553070068,0.00558575180544631,0.00520422073252957,0,0,0,0
60,60,6,0,"(0.002102792263031006, 0.0013690590858459473)","(0.07127596945870486, 0.007272031877105301)",0.002102792263031006,0.0013690590858459473,0.07127596945870486,0.007272031877105301,0,0,0,0
61,61,6,1,"(0.0016897320747375488, 0.012897521257400513)","(0.016850205838090444, 0.012104906823229069)",0.0016897320747375488,0.012897521257400513,0.016850205838090444,0.012104906823229069,0,0,0,0
62,62,6,2,"(0.0038030147552490234, 0.0011663436889648438)","(0.9799074079959773, 0.00535640449953262)",0.0038030147552490234,0.0011663436889648438,0.9799074079959773,0.00535640449953262,0,0,1,0
63,63,6,3,"(0.0006186962127685547, 0.0004095733165740967)","(0.005073743433269688, 0.005237676257917112)",0.0006186962127685547,0.0004095733165740967,0.005073743433269688,0.005237676257917112,0,0,0,0
64,64,6,4,"(0.004598140716552734, 0.0005976557731628418)","(0.9516488474130421, 0.3612640587997866)",0.004598140716552734,0.0005976557731628418,0.9516488474130421,0.3612640587997866,0,0,1,0
65,65,6,5,"(0.9609507620334625, 0.0007113814353942871)","(0.8851770017679315, 0.01642501899428487)",0.9609507620334625,0.0007113814353942871,0.8851770017679315,0.01642501899428487,1,0,1,0
66,66,6,6,"(0.00418439507484436, 0.0006111562252044678)","(0.5474079704935495, 0.061222228877387964)",0.00418439507484436,0.0006111562252044678,0.5474079704935495,0.061222228877387964,0,0,1,0
67,67,6,7,"(0.22247636318206787, 0.0032694339752197266)","(0.9563007900117628, 0.955987058500741)",0.22247636318206787,0.0032694339752197266,0.9563007900117628,0.955987058500741,0,0,1,1
