,Unnamed: 0,conversation id,turn,score distilbert,score roberta,distilbert_input_score,distilbert_output_score,roberta_input_score,roberta_output_score,distilbert_input_label,distilbert_output_label,roberta_input_label,roberta_output_label
0,0,0,0,"(0.02695441246032715, 0.008131146430969238)","(0.9262145224891102, 0.015989898649342773)",0.02695441246032715,0.008131146430969238,0.9262145224891102,0.015989898649342773,0,0,1,0
1,1,0,1,"(0.0009216964244842529, 0.00038635730743408203)","(0.005881141075840398, 0.0052268378898257676)",0.0009216964244842529,0.00038635730743408203,0.005881141075840398,0.0052268378898257676,0,0,0,0
2,2,0,2,"(0.9785951375961304, 0.0008040368556976318)","(0.9773104707416262, 0.005952600913600947)",0.9785951375961304,0.0008040368556976318,0.9773104707416262,0.005952600913600947,1,0,1,0
3,3,0,3,"(0.0005368292331695557, 0.0005058944225311279)","(0.006326259662639421, 0.005889538469878219)",0.0005368292331695557,0.0005058944225311279,0.006326259662639421,0.005889538469878219,0,0,0,0
4,4,0,4,"(0.0020222067832946777, 0.0005455613136291504)","(0.1444856281535537, 0.005851929814890665)",0.0020222067832946777,0.0005455613136291504,0.1444856281535537,0.005851929814890665,0,0,0,0
5,5,0,5,"(0.7844370901584625, 0.0008724629878997803)","(0.036798778624149577, 0.007068525807598465)",0.7844370901584625,0.0008724629878997803,0.036798778624149577,0.007068525807598465,1,0,0,0
6,6,0,6,"(0.0026755034923553467, 0.0011230409145355225)","(0.005864726702957132, 0.005176556371624379)",0.0026755034923553467,0.0011230409145355225,0.005864726702957132,0.005176556371624379,0,0,0,0
7,7,0,7,"(0.1200590431690216, 0.0005955696105957031)","(0.7471214594973733, 0.28557010721870746)",0.1200590431690216,0.0005955696105957031,0.7471214594973733,0.28557010721870746,0,0,1,0
8,8,0,8,"(0.8371228277683258, 0.04999905824661255)","(0.9504023802678194, 0.8386164960887169)",0.8371228277683258,0.04999905824661255,0.9504023802678194,0.8386164960887169,1,0,1,1
9,9,0,9,"(0.07558345794677734, 0.0012658238410949707)","(0.04842601490286359, 0.007229405725988799)",0.07558345794677734,0.0012658238410949707,0.04842601490286359,0.007229405725988799,0,0,0,0
