,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.0028540492057800293, 0.0004031360149383545)","(0.008440122130067411, 0.005296390440451533)"
1,0,1,"(0.008564740419387817, 0.0004183650016784668)","(0.006981604573550475, 0.004963043358024812)"
2,0,2,"(0.0007959306240081787, 0.00046625733375549316)","(0.00809235593154418, 0.005944314189538265)"
3,0,3,"(0.0018531978130340576, 0.0005005896091461182)","(0.005372517236176486, 0.005200494396928346)"
4,0,4,"(0.0011220276355743408, 0.00042551755905151367)","(0.01603472873855549, 0.005739479942750086)"
5,0,5,"(0.07036411762237549, 0.0004646182060241699)","(0.9513798800214343, 0.007976866968718035)"
6,0,6,"(0.8378328084945679, 0.0005310475826263428)","(0.9447022027245615, 0.005368474990160505)"
7,0,7,"(0.003494054079055786, 0.0004538893699645996)","(0.21828638789055055, 0.007907766584643448)"
8,0,8,"(0.0015339255332946777, 0.0005368888378143311)","(0.8507720073637077, 0.014136083422368365)"
9,0,9,"(0.05463927984237671, 0.0005971789360046387)","(0.507285373129059, 0.014230196244357224)"
10,1,0,"(0.0014289915561676025, 0.0005096495151519775)","(0.02521489143646708, 0.005456277439895353)"
11,1,1,"(0.9370978474617004, 0.001346886157989502)","(0.19219152096255007, 0.01762837023967172)"
12,1,2,"(0.0014013051986694336, 0.0006108582019805908)","(0.005272591021190913, 0.007270878777702546)"
13,1,3,"(0.0010544955730438232, 0.0004892945289611816)","(0.005103223502836995, 0.00521228214597612)"
14,1,4,"(0.03365439176559448, 0.0005660653114318848)","(0.020284438587000783, 0.009656891260534907)"
15,1,5,"(0.023257195949554443, 0.0011989176273345947)","(0.01331535867282822, 0.014036016686201804)"
16,1,6,"(0.13925668597221375, 0.0007877349853515625)","(0.005975946456388779, 0.006345695158872429)"
17,1,7,"(0.014384239912033081, 0.0005050599575042725)","(0.1874278554260767, 0.006039690898653504)"
18,1,8,"(0.0005545318126678467, 0.0004157423973083496)","(0.005135436214505681, 0.005276103463659674)"
19,1,9,"(0.0009782910346984863, 0.000516355037689209)","(0.005140705948126179, 0.005246304317290308)"
20,2,0,"(0.9391463696956635, 0.00047257542610168457)","(0.9299953363597919, 0.005880714549578959)"
21,2,1,"(0.7906496822834015, 0.0005136728286743164)","(0.835748825191059, 0.006593924612395981)"
22,2,2,"(0.002439945936203003, 0.0004329383373260498)","(0.005428917752785082, 0.00513290806719802)"
23,2,3,"(0.0009700357913970947, 0.0005007684230804443)","(0.0059070522081858725, 0.00561302438394582)"
24,2,4,"(0.004570037126541138, 0.0004955530166625977)","(0.9800375389995042, 0.0063819951337320945)"
25,2,5,"(0.007171303033828735, 0.0004101693630218506)","(0.014527241801061663, 0.005237355775237326)"
26,2,6,"(0.9698042571544647, 0.0036138594150543213)","(0.2519532526343905, 0.014650349905678343)"
27,2,7,"(0.9832082986831665, 0.0004620552062988281)","(0.9793453660181292, 0.005757439802085823)"
28,2,8,"(0.0009651482105255127, 0.00048291683197021484)","(0.006462641701860414, 0.005446425105996098)"
29,2,9,"(0.9810115694999695, 0.0005591809749603271)","(0.9675136175773758, 0.006436940547949669)"
30,3,0,"(0.0007233917713165283, 0.00044396519660949707)","(0.13985924306340594, 0.006016713782450138)"
31,3,1,"(0.0055107176303863525, 0.00045734643936157227)","(0.006842060018949515, 0.007316725548866904)"
32,3,2,"(0.001909017562866211, 0.0005657672882080078)","(0.01722960365425644, 0.0061557278452190195)"
33,3,3,"(0.002433955669403076, 0.00046074390411376953)","(0.12148385405747884, 0.005911004411599615)"
34,3,4,"(0.0035292506217956543, 0.0004267096519470215)","(0.9416202758927319, 0.00580994463503409)"
35,3,5,"(0.013191044330596924, 0.0004811882972717285)","(0.14007130463505796, 0.006968380417638285)"
36,3,6,"(0.010120421648025513, 0.00048041343688964844)","(0.9271366828062315, 0.00854330473609386)"
37,3,7,"(0.9617749750614166, 0.0004850625991821289)","(0.9601055009570909, 0.014015851381797943)"
38,3,8,"(0.0026443004608154297, 0.0004839301109313965)","(0.9813621312441961, 0.005348309089658025)"
39,3,9,"(0.0007350444793701172, 0.0004456937313079834)","(0.008378812984584223, 0.005598346832338485)"
40,4,0,"(0.9766677618026733, 0.08423382043838501)","(0.9776613415889325, 0.2138912961099808)"
41,4,1,"(0.011683255434036255, 0.000483095645904541)","(0.12253442725958047, 0.0075037917013721575)"
42,4,2,"(0.2349010407924652, 0.0004898905754089355)","(0.8949050664520161, 0.0065958333424992405)"
43,4,3,"(0.09971895813941956, 0.0004572868347167969)","(0.2359507754931943, 0.004957750182595664)"
44,4,4,"(0.010211139917373657, 0.0004992187023162842)","(0.8912227773652517, 0.005284298190895288)"
45,4,5,"(0.022403180599212646, 0.000505298376083374)","(0.14065699315269845, 0.006641619118746708)"
46,4,6,"(0.018966645002365112, 0.00044995546340942383)","(0.2392520428780253, 0.006253352203157497)"
47,4,7,"(0.0038675665855407715, 0.0004419982433319092)","(0.012000010235627244, 0.005329719874198827)"
48,4,8,"(0.1246461272239685, 0.0005156993865966797)","(0.953136079231595, 0.007080637806113574)"
49,4,9,"(0.002377063035964966, 0.0004780590534210205)","(0.03201707530374692, 0.005704503327359107)"
50,5,0,"(0.7698301672935486, 0.00046822428703308105)","(0.8578925106150185, 0.006986293826343701)"
51,5,1,"(0.0028916597366333008, 0.0005418658256530762)","(0.026870247188428977, 0.005341424006477946)"
52,5,2,"(0.7682075798511505, 0.0005859434604644775)","(0.9074260038025768, 0.017812955261646262)"
53,5,3,"(0.0916433036327362, 0.00048464536666870117)","(0.15610827387259613, 0.005841001741194943)"
54,5,4,"(0.05141448974609375, 0.00042635202407836914)","(0.12680251602708428, 0.006051289576744316)"
55,5,5,"(0.15092161297798157, 0.0005631744861602783)","(0.9377447669898906, 0.009257839195970927)"
56,5,6,"(0.0006887316703796387, 0.0005061328411102295)","(0.005102025253567593, 0.005054300141114079)"
57,5,7,"(0.032768964767456055, 0.0005380213260650635)","(0.2149332837054492, 0.009146698378428549)"
58,5,8,"(0.0008973479270935059, 0.002400904893875122)","(0.8320734629946237, 0.01097648626292784)"
59,5,9,"(0.0009076297283172607, 0.000494539737701416)","(0.08710023870461073, 0.005724883455875301)"
60,6,0,"(0.003286033868789673, 0.0004945993423461914)","(0.009574309368680244, 0.00827563566226217)"
61,6,1,"(0.016227245330810547, 0.000497967004776001)","(0.0240144282519844, 0.0062580446724786465)"
62,6,2,"(0.9707011878490448, 0.000675886869430542)","(0.8912780061418334, 0.006857698870708836)"
63,6,3,"(0.003015577793121338, 0.00045680999755859375)","(0.037961936306868505, 0.005253393861674218)"
64,6,4,"(0.0008063316345214844, 0.00042444467544555664)","(0.00533816199784445, 0.00540260915669477)"
65,6,5,"(0.0013880729675292969, 0.00045120716094970703)","(0.005709614596332687, 0.005116510117927085)"
