,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9737637639045715, 0.0005072057247161865)","(0.9613252173395793, 0.006533007221510092)"
1,0,1,"(0.9620416760444641, 0.00043198466300964355)","(0.7798947533299458, 0.006219553358402335)"
2,0,2,"(0.9770554602146149, 0.000497668981552124)","(0.2757222062117073, 0.005304941085468801)"
3,0,3,"(0.9771394729614258, 0.0004557967185974121)","(0.9788888892011591, 0.005390416317555506)"
4,0,4,"(0.9805437922477722, 0.00046685338020324707)","(0.9627733738594622, 0.005312956082721847)"
5,0,5,"(0.981306254863739, 0.0005332529544830322)","(0.9776253330524832, 0.005497506504406052)"
6,0,6,"(0.9800252914428711, 0.0005487203598022461)","(0.9731133893608622, 0.00548100278309164)"
7,0,7,"(0.9762338101863861, 0.0262870192527771)","(0.9655628412970398, 0.04410240010761497)"
8,0,8,"(0.9767481088638306, 0.059815555810928345)","(0.9695342361453106, 0.014699620736426692)"
9,0,9,"(0.9745166599750519, 0.0005013644695281982)","(0.9126264991760888, 0.005725670630333195)"
10,1,0,"(0.968482494354248, 0.00044545531272888184)","(0.13759131439673347, 0.005001833620209982)"
11,1,1,"(0.9821362793445587, 0.0005227923393249512)","(0.9786780734724316, 0.005831094535372912)"
12,1,2,"(0.9810385406017303, 0.0004980862140655518)","(0.9769834503734565, 0.005175949874574262)"
13,1,3,"(0.9816037118434906, 0.0004362761974334717)","(0.9779430177040969, 0.005365486642699613)"
14,1,4,"(0.9809593856334686, 0.0004813671112060547)","(0.9737298772242023, 0.005666193993682032)"
15,1,5,"(0.8028700351715088, 0.0004887580871582031)","(0.9604706359076371, 0.009049600828489218)"
16,1,6,"(0.9825800657272339, 0.0006113350391387939)","(0.9691160697437232, 0.013586833537290649)"
17,1,7,"(0.9745976328849792, 0.00043335556983947754)","(0.9541833860608809, 0.005154317035415224)"
18,1,8,"(0.9420967102050781, 0.00046437978744506836)","(0.8541694894642224, 0.0058135897123723235)"
19,1,9,"(0.9784931540489197, 0.0004411041736602783)","(0.9092128650079659, 0.005534689558027173)"
20,2,0,"(0.9789318442344666, 0.0004414021968841553)","(0.9766380433956933, 0.005218721900775054)"
21,2,1,"(0.9758524000644684, 0.0004769265651702881)","(0.96563254498515, 0.005288673720218846)"
22,2,2,"(0.951483964920044, 0.0004653632640838623)","(0.9359182827056471, 0.007342777845228408)"
23,2,3,"(0.9801915287971497, 0.7566130459308624)","(0.974601513695256, 0.08498751298935724)"
24,2,4,"(0.9652676284313202, 0.0006940364837646484)","(0.9603553972224294, 0.013565754039603141)"
25,2,5,"(0.979585200548172, 0.0005250871181488037)","(0.9729673873504274, 0.005316444839214424)"
26,2,6,"(0.9660664498806, 0.00046625733375549316)","(0.07677901366145855, 0.005506280815321699)"
27,2,7,"(0.21537771821022034, 0.01260221004486084)","(0.05130560881520222, 0.08307572893230047)"
28,2,8,"(0.8296314775943756, 0.0008868277072906494)","(0.8859809032530263, 0.0419055995434255)"
29,2,9,"(0.9758783280849457, 0.0009962022304534912)","(0.967114496419264, 0.04243111854040944)"
30,3,0,"(0.9786725342273712, 0.0004578232765197754)","(0.9757992765846153, 0.005471394051521074)"
31,3,1,"(0.9727104008197784, 0.0004852414131164551)","(0.9699547199123398, 0.005582778196570997)"
32,3,2,"(0.9808217585086823, 0.0005095899105072021)","(0.9710404836016848, 0.005076146259248848)"
33,3,3,"(0.978656142950058, 0.0004945993423461914)","(0.978577493313493, 0.00586740178354386)"
34,3,4,"(0.9734046459197998, 0.0004468262195587158)","(0.9376542057637255, 0.005762865968408291)"
35,3,5,"(0.9638945162296295, 0.00040468573570251465)","(0.8008565841467812, 0.006472949460031145)"
36,3,6,"(0.9788167476654053, 0.0004532933235168457)","(0.9739519593703363, 0.0061920070909259745)"
37,3,7,"(0.9747739434242249, 0.00045734643936157227)","(0.966535631032933, 0.006486038417713039)"
38,3,8,"(0.9763095676898956, 0.0048333704471588135)","(0.9738283809212374, 0.15019207128834466)"
39,3,9,"(0.9731376767158508, 0.0005512833595275879)","(0.9593782701465745, 0.005210158737376732)"
40,4,0,"(0.9737513959407806, 0.0012228190898895264)","(0.9746094148358251, 0.00975461685076475)"
41,4,1,"(0.9835837781429291, 0.0005221366882324219)","(0.9808124513883423, 0.005322411753307863)"
42,4,2,"(0.9810695648193359, 0.0005355775356292725)","(0.9768471065711278, 0.005326710034424226)"
43,4,3,"(0.9720885753631592, 0.0005189776420593262)","(0.9571333679924025, 0.005169702407737658)"
44,4,4,"(0.9767567813396454, 0.0004800856113433838)","(0.9790651976840814, 0.005576751079848952)"
45,4,5,"(0.979829341173172, 0.0005352199077606201)","(0.9773231081943474, 0.007242771899774196)"
46,4,6,"(0.9733719229698181, 0.004925936460494995)","(0.7252999072910581, 0.008301983538455121)"
47,4,7,"(0.980111837387085, 0.0004749596118927002)","(0.9729286190389927, 0.0051372051924407245)"
48,4,8,"(0.9773615002632141, 0.004258930683135986)","(0.9078689126321882, 0.015055542406515599)"
49,4,9,"(0.9739623665809631, 0.00046506524085998535)","(0.9675364207793391, 0.010054826947531828)"
50,5,0,"(0.9837055206298828, 0.0010052919387817383)","(0.9740652565685548, 0.01876049585141221)"
51,5,1,"(0.9743043184280396, 0.00047460198402404785)","(0.958550280515528, 0.00590952517876082)"
52,5,2,"(0.9818203449249268, 0.00045949220657348633)","(0.9749053941767178, 0.005117556373040972)"
53,5,3,"(0.9742868840694427, 0.0023674368858337402)","(0.9538579778654891, 0.0396643778391414)"
54,5,4,"(0.978257030248642, 0.0004375278949737549)","(0.9751419442411549, 0.005626683605753649)"
55,5,5,"(0.9718477427959442, 0.000459134578704834)","(0.9442316226797864, 0.005519145166231901)"
56,5,6,"(0.9778998792171478, 0.00044676661491394043)","(0.9757546278687286, 0.005917999327581208)"
57,5,7,"(0.9788496494293213, 0.0005117654800415039)","(0.9756100462834395, 0.005310688604672305)"
58,5,8,"(0.9799950122833252, 0.0007390677928924561)","(0.9746474648857282, 0.0070552216911192135)"
59,5,9,"(0.9810548722743988, 0.0004961192607879639)","(0.9795265645041189, 0.005203685062643218)"
60,6,0,"(0.9810098111629486, 0.000535815954208374)","(0.9731131273671011, 0.019753806149441958)"
61,6,1,"(0.9770311415195465, 0.0005301535129547119)","(0.9625177357044766, 0.005213622388043959)"
62,6,2,"(0.9813496172428131, 0.0005442500114440918)","(0.980021183676144, 0.005332991928155595)"
63,6,3,"(0.9790722727775574, 0.0004891157150268555)","(0.9744840130982309, 0.005230034709786698)"
64,6,4,"(0.7783252894878387, 0.0005107522010803223)","(0.9360664486435485, 0.01942061034907714)"
65,6,5,"(0.9742927849292755, 0.00046008825302124023)","(0.9743813365716788, 0.00638841776577101)"
66,6,6,"(0.9756230115890503, 0.0005196332931518555)","(0.9624547476552013, 0.006039685173546116)"
67,6,7,"(0.958317756652832, 0.00042641162872314453)","(0.9488916814912867, 0.005485402420058979)"
68,6,8,"(0.9763595163822174, 0.0004850029945373535)","(0.9765921855248924, 0.00610007106508922)"
69,6,9,"(0.9786644577980042, 0.0004361569881439209)","(0.97290595304851, 0.005215658134368361)"
70,7,0,"(0.9770199060440063, 0.00042766332626342773)","(0.9694723649963998, 0.006750675057173983)"
71,7,1,"(0.9759774804115295, 0.000444561243057251)","(0.9660449229470253, 0.008233430272018491)"
