,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9835464358329773, 0.007441908121109009)","(0.9668951235306047, 0.012187334355678144)"
1,0,1,"(0.002146124839782715, 0.0008386075496673584)","(0.966362399688138, 0.0061911209963427)"
2,0,2,"(0.0006622374057769775, 0.00043335556983947754)","(0.0071973306477993906, 0.0057073655101939486)"
3,0,3,"(0.0024140775203704834, 0.8957924246788025)","(0.9761561327323967, 0.449115717454426)"
4,0,4,"(0.9756698906421661, 0.19575339555740356)","(0.966218237988576, 0.09325952369883443)"
5,0,5,"(0.00046384334564208984, 0.00046703219413757324)","(0.005924558741907959, 0.006051220744680966)"
6,0,6,"(0.10592174530029297, 0.0004635453224182129)","(0.7357853744174981, 0.006893756393174993)"
7,0,7,"(0.04837337136268616, 0.0004042088985443115)","(0.27782174731105586, 0.005397067283509321)"
8,0,8,"(0.00042194128036499023, 0.0015681982040405273)","(0.005100691773982369, 0.0067715594918749435)"
9,0,9,"(0.00046834349632263184, 0.0003955662250518799)","(0.0053972592593615545, 0.005090123344546163)"
10,1,0,"(0.9706124067306519, 0.00048148632049560547)","(0.9627483884352764, 0.05171218422312813)"
11,1,1,"(0.9725715816020966, 0.0004397928714752197)","(0.962767887507875, 0.22654030378431558)"
12,1,2,"(0.000779956579208374, 0.0008026659488677979)","(0.00529584533405157, 0.010363631914774499)"
13,1,3,"(0.0043222010135650635, 0.0004538893699645996)","(0.012413895948567651, 0.0056400629858062695)"
14,1,4,"(0.0006948113441467285, 0.0004807710647583008)","(0.9792403896947824, 0.0059783262478854005)"
15,1,5,"(0.0007519125938415527, 0.00044479966163635254)","(0.006551034505853996, 0.00555006693829957)"
16,1,6,"(0.0006875395774841309, 0.00046572089195251465)","(0.050676085747718244, 0.01687801851952689)"
17,1,7,"(0.0026831626892089844, 0.0004209280014038086)","(0.012205068160294201, 0.0052050231056963055)"
18,1,8,"(0.08332610130310059, 0.00046697258949279785)","(0.8837045070749305, 0.015253756400479828)"
19,1,9,"(0.0037435293197631836, 0.0004990994930267334)","(0.5026361306878907, 0.006053920118144019)"
20,2,0,"(0.23035529255867004, 0.0004904866218566895)","(0.9635454388025361, 0.051764201391139235)"
21,2,1,"(0.003112614154815674, 0.00047788023948669434)","(0.007797473230652754, 0.0054929252904697)"
22,2,2,"(0.9774936735630035, 0.0004490017890930176)","(0.9719179372750102, 0.0064558910698769975)"
23,2,3,"(0.0009633898735046387, 0.0004602670669555664)","(0.008323083934757185, 0.005418829286666522)"
24,2,4,"(0.0011325478553771973, 0.0004615187644958496)","(0.980096411952003, 0.005566038394361995)"
25,2,5,"(0.9766109883785248, 0.0040062665939331055)","(0.9358113989342667, 0.019227207992328757)"
26,2,6,"(0.06039631366729736, 0.0005915164947509766)","(0.8941761979045081, 0.008396691906260622)"
27,2,7,"(0.0005478262901306152, 0.0004273653030395508)","(0.0055739936774998776, 0.005457325501758602)"
28,2,8,"(0.9731376767158508, 0.0005241632461547852)","(0.9593782701465745, 0.005484986228426527)"
29,2,9,"(0.9727104008197784, 0.0005326569080352783)","(0.9699547199123398, 0.005757625414799152)"
30,3,0,"(0.8346906900405884, 0.0004993975162506104)","(0.9415044401904195, 0.015415734353365572)"
31,3,1,"(0.07752510905265808, 0.0005017220973968506)","(0.9381181045179767, 0.017608150319737715)"
32,3,2,"(0.0015496611595153809, 0.0004493594169616699)","(0.031066336535123983, 0.006803280382924295)"
33,3,3,"(0.1460135281085968, 0.0005071461200714111)","(0.7912100073879309, 0.011970591774557473)"
34,3,4,"(0.7509209215641022, 0.0009495913982391357)","(0.9506938897847335, 0.02461447314959891)"
35,3,5,"(0.0005572140216827393, 0.00042450428009033203)","(0.005478741924722704, 0.006707575977688203)"
36,3,6,"(0.0009513199329376221, 0.0004659593105316162)","(0.007236167960871784, 0.005510583036761907)"
37,3,7,"(0.0006131827831268311, 0.00041961669921875)","(0.005685020074032096, 0.005601453518523929)"
38,3,8,"(0.0007564425468444824, 0.000820547342300415)","(0.005184439891720699, 0.005123716840490748)"
39,3,9,"(0.006420612335205078, 0.00044724345207214355)","(0.11155717536579052, 0.005189498701037041)"
40,4,0,"(0.06543859839439392, 0.0004443228244781494)","(0.17037268746689527, 0.012298666329579853)"
41,4,1,"(0.01725316047668457, 0.004648000001907349)","(0.9583391885031878, 0.007636501960658385)"
42,4,2,"(0.10867583751678467, 0.0005411505699157715)","(0.19330573038124646, 0.005440959807703275)"
43,4,3,"(0.07204416394233704, 0.0004943609237670898)","(0.06960571678987672, 0.007324823865152654)"
44,4,4,"(0.9560056626796722, 0.0004813671112060547)","(0.9602791504115576, 0.016621539958928285)"
45,4,5,"(0.0009059011936187744, 0.0006211400032043457)","(0.0062264360652816335, 0.005226270155437661)"
46,4,6,"(0.8289459645748138, 0.001513659954071045)","(0.49006236844561124, 0.016612602570240526)"
47,4,7,"(0.9737927615642548, 0.0004477202892303467)","(0.7956677714091958, 0.006054402172563632)"
48,4,8,"(0.9763914942741394, 0.0050068199634552)","(0.9636043501502269, 0.23160981287911125)"
49,4,9,"(0.9721617102622986, 0.00045353174209594727)","(0.9792033380641808, 0.005520679062388482)"
50,5,0,"(0.9751133024692535, 0.000484466552734375)","(0.9734504420924757, 0.007240228315404957)"
51,5,1,"(0.0012616217136383057, 0.00043329596519470215)","(0.005350638222908513, 0.005558700616846628)"
52,5,2,"(0.9781938195228577, 0.0004916191101074219)","(0.9497405776044019, 0.005762133808483059)"
53,5,3,"(0.9556872546672821, 0.0004354417324066162)","(0.9564094116363965, 0.006504818211730476)"
54,5,4,"(0.06277698278427124, 0.0004750192165374756)","(0.07193360769270982, 0.012359512370291502)"
55,5,5,"(0.02116495370864868, 0.0005400180816650391)","(0.049214236372665074, 0.008351966623355734)"
56,5,6,"(0.9805246293544769, 0.0029681622982025146)","(0.9745033498692828, 0.01058353790705787)"
57,5,7,"(0.0649789571762085, 0.0005717873573303223)","(0.8482516538649825, 0.03959374679641349)"
