,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9642581045627594, 0.00046887993812561035)","(0.922340906356324, 0.007386438068425766)"
1,0,1,"(0.7989877164363861, 0.0024297237396240234)","(0.8175213090446111, 0.010921101280752847)"
2,0,2,"(0.9731376767158508, 0.0004844069480895996)","(0.9593782701465745, 0.005470078701299117)"
3,0,3,"(0.008044838905334473, 0.0004444420337677002)","(0.03139700740695788, 0.006959918677066206)"
4,0,4,"(0.9702159762382507, 0.0005933642387390137)","(0.9532131433792751, 0.01481325218037092)"
5,0,5,"(0.0013948380947113037, 0.002103865146636963)","(0.011341678237033623, 0.0058728975649282025)"
6,0,6,"(0.0016569197177886963, 0.0005013644695281982)","(0.7422327339585911, 0.009153503071542416)"
7,0,7,"(0.006198972463607788, 0.0006647706031799316)","(0.7403012367106288, 0.08005351793641562)"
8,0,8,"(0.002618461847305298, 0.00048828125)","(0.027484987767155692, 0.005370759366078654)"
9,0,9,"(0.011895090341567993, 0.0004177093505859375)","(0.18793384476586641, 0.005396726863031325)"
10,1,0,"(0.9814639389514923, 0.0004731118679046631)","(0.9703212862852314, 0.00675061111262535)"
11,1,1,"(0.001137763261795044, 0.0004551410675048828)","(0.0049140906607099055, 0.00507241971426232)"
12,1,2,"(0.9699556529521942, 0.005548685789108276)","(0.9574417112643135, 0.4402414898013336)"
13,1,3,"(0.9768480658531189, 0.0004152655601501465)","(0.9740998179792776, 0.005319718879440703)"
14,1,4,"(0.0012101233005523682, 0.00044152140617370605)","(0.9776662876815609, 0.005364239866156152)"
15,1,5,"(0.0018801689147949219, 0.000399857759475708)","(0.9760953760455797, 0.0049048424573509995)"
16,1,6,"(0.0006921291351318359, 0.0004526972770690918)","(0.008036980752076952, 0.0060494743914553)"
17,1,7,"(0.9731376767158508, 0.006671160459518433)","(0.9593782701465745, 0.006854786404982784)"
18,1,8,"(0.0008590221405029297, 0.0004642605781555176)","(0.006436123302658478, 0.005540343059446975)"
19,1,9,"(0.0007645785808563232, 0.0004667937755584717)","(0.005393436379903865, 0.005402898698297817)"
20,2,0,"(0.19207048416137695, 0.0005417466163635254)","(0.9640494472302861, 0.02459059778921018)"
21,2,1,"(0.032133907079696655, 0.00048032402992248535)","(0.06470482092652573, 0.007937036612224222)"
22,2,2,"(0.07039692997932434, 0.0004438459873199463)","(0.8752812502309428, 0.007950245044257185)"
