,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.00057944655418396, 0.0005457401275634766)","(0.006672846023778695, 0.0068376288155599756)"
1,0,1,"(0.001102149486541748, 0.00042498111724853516)","(0.0051371783852223905, 0.005278882042026779)"
2,0,2,"(0.9367488026618958, 0.00047537684440612793)","(0.9332222122006213, 0.0056157637065211655)"
3,0,3,"(0.9817387163639069, 0.0005174875259399414)","(0.9795458673062877, 0.007656945683992432)"
4,0,4,"(0.9813005924224854, 0.0005054771900177002)","(0.9799561508399508, 0.005176794569960787)"
5,0,5,"(0.0017676353454589844, 0.0004905462265014648)","(0.016687520116166848, 0.005804339566547494)"
6,0,6,"(0.043168872594833374, 0.000448763370513916)","(0.8936654077535185, 0.005898297264989037)"
7,0,7,"(0.0006209015846252441, 0.0004991590976715088)","(0.005594729836224162, 0.009283385334226688)"
8,0,8,"(0.003042370080947876, 0.00043389201164245605)","(0.005971135922773689, 0.005140047546931504)"
9,0,9,"(0.9813514947891235, 0.0005224347114562988)","(0.9774538344474992, 0.006100285002597672)"
10,1,0,"(0.12360358238220215, 0.001102447509765625)","(0.7998457850525988, 0.02892612638413504)"
11,1,1,"(0.0013200342655181885, 0.0014872848987579346)","(0.005601331342938024, 0.007278127386538511)"
12,1,2,"(0.010045617818832397, 0.0005079805850982666)","(0.05063070734231202, 0.007729918410659083)"
13,1,3,"(0.01328122615814209, 0.0004144906997680664)","(0.07408581198739923, 0.0056935115480995155)"
14,1,4,"(0.04684370756149292, 0.00041562318801879883)","(0.09981743267184323, 0.005342133401098347)"
15,1,5,"(0.002829313278198242, 0.0005466341972351074)","(0.15452840339068058, 0.023813997152069503)"
16,1,6,"(0.0031557977199554443, 0.00044092535972595215)","(0.012628795655169544, 0.00786614217512624)"
17,1,7,"(0.0011217296123504639, 0.0004335939884185791)","(0.005562484357578695, 0.005115951878614946)"
18,1,8,"(0.021345168352127075, 0.00043070316314697266)","(0.843988739349548, 0.005731480045652177)"
19,1,9,"(0.0005100071430206299, 0.0004195570945739746)","(0.004937287152191366, 0.00513037142285199)"
20,2,0,"(0.0016810894012451172, 0.00048172473907470703)","(0.025326173249718916, 0.0159180847382768)"
21,2,1,"(0.9718475639820099, 0.0004234910011291504)","(0.9763690080553384, 0.005245127384100379)"
22,2,2,"(0.14747354388237, 0.0004891157150268555)","(0.9257548327112943, 0.008280149117698305)"
23,2,3,"(0.19807538390159607, 0.0004578828811645508)","(0.9388432107932198, 0.005622379228289269)"
24,2,4,"(0.004415392875671387, 0.00046187639236450195)","(0.009135205780301522, 0.005650952164785107)"
25,2,5,"(0.004311501979827881, 0.00048065185546875)","(0.09536635050918123, 0.009507242461722718)"
26,2,6,"(0.008675813674926758, 0.0005026161670684814)","(0.028563363505027622, 0.010462236727191373)"
27,2,7,"(0.1692417562007904, 0.00045865774154663086)","(0.9357371166468516, 0.05629674739352995)"
28,2,8,"(0.8369648158550262, 0.0006035566329956055)","(0.9085353725401961, 0.11912847068056129)"
29,2,9,"(0.08299750089645386, 0.00044086575508117676)","(0.8496904142653786, 0.006222734269415284)"
30,3,0,"(0.0010312795639038086, 0.00041159987449645996)","(0.005520912063218976, 0.00539455430619647)"
31,3,1,"(0.001531839370727539, 0.0004412829875946045)","(0.17925046010641763, 0.005427432378506172)"
32,3,2,"(0.22013142704963684, 0.0005045831203460693)","(0.9544139008098665, 0.010433845094190848)"
33,3,3,"(0.002664715051651001, 0.0004515647888183594)","(0.007433219129102268, 0.00510836099018111)"
34,3,4,"(0.030823826789855957, 0.005117475986480713)","(0.016279224774267798, 0.007095323028483094)"
35,3,5,"(0.000801771879196167, 0.00047025084495544434)","(0.009645442520460549, 0.005672483972180534)"
36,3,6,"(0.0007705092430114746, 0.00046378374099731445)","(0.007570474404655344, 0.0051137728982433945)"
37,3,7,"(0.0009523928165435791, 0.0005876719951629639)","(0.9742158251259018, 0.006656128169514722)"
38,3,8,"(0.7578752636909485, 0.0011003315448760986)","(0.5562843111407588, 0.009278781618321524)"
39,3,9,"(0.004065036773681641, 0.0005542933940887451)","(0.9783935597166904, 0.006335291571229999)"
40,4,0,"(0.12453389167785645, 0.0005723237991333008)","(0.569351431191074, 0.011188255133709043)"
41,4,1,"(0.8370534479618073, 0.0004722774028778076)","(0.96928653158227, 0.009242661975365668)"
42,4,2,"(0.08454751968383789, 0.0004984438419342041)","(0.8243357576799493, 0.005945762622067753)"
43,4,3,"(0.0008184611797332764, 0.0004565119743347168)","(0.006200598761034404, 0.005541819744167914)"
44,4,4,"(0.0019401311874389648, 0.00044485926628112793)","(0.014777894011019402, 0.005090777798665292)"
45,4,5,"(0.11117491126060486, 0.0020624101161956787)","(0.00505279688224365, 0.0049119599410052785)"
46,4,6,"(0.0022406578063964844, 0.0004391968250274658)","(0.016391204450272465, 0.005611273404792538)"
47,4,7,"(0.004104793071746826, 0.0004907846450805664)","(0.7714815463884873, 0.008772381008662147)"
48,4,8,"(0.18259945511817932, 0.0005166530609130859)","(0.9015643261321148, 0.007429997253235863)"
49,4,9,"(0.0006623566150665283, 0.00048226118087768555)","(0.009053471550878864, 0.005262826465355238)"
50,5,0,"(0.7960703372955322, 0.0004374682903289795)","(0.8390179652206613, 0.00656949397089216)"
51,5,1,"(0.0006361305713653564, 0.006483018398284912)","(0.005004295158944857, 0.006208752107853394)"
52,5,2,"(0.9819928407669067, 0.8336129784584045)","(0.9771091467011662, 0.04764553321786702)"
53,5,3,"(0.0008788704872131348, 0.0005175471305847168)","(0.970938824331793, 0.005400254962182627)"
54,5,4,"(0.0004995763301849365, 0.0004944801330566406)","(0.006098842514324474, 0.0060486630381890545)"
55,5,5,"(0.19335591793060303, 0.0014663636684417725)","(0.8783522718001027, 0.008006735342845012)"
56,5,6,"(0.0009254217147827148, 0.0004368722438812256)","(0.005369193050995755, 0.005137383098415983)"
57,5,7,"(0.0015575587749481201, 0.0004018843173980713)","(0.006393568370799345, 0.005037497153636876)"
58,5,8,"(0.000598907470703125, 0.00042062997817993164)","(0.006037839107756575, 0.005214431150071474)"
59,5,9,"(0.0018624067306518555, 0.0005276501178741455)","(0.9687742117550191, 0.006922278332540242)"
60,6,0,"(0.9742342233657837, 0.0011648833751678467)","(0.9295852562063017, 0.03626023458816049)"
61,6,1,"(0.0005406737327575684, 0.00048357248306274414)","(0.005398861882749208, 0.005055278577244041)"
62,6,2,"(0.962335616350174, 0.0004926323890686035)","(0.9585803555609728, 0.011441922243795258)"
63,6,3,"(0.8437222242355347, 0.0005112886428833008)","(0.9262837738295583, 0.005761336187270868)"
64,6,4,"(0.019428014755249023, 0.00044840574264526367)","(0.06934106034488827, 0.0050593262196965425)"
65,6,5,"(0.0004044473171234131, 0.00044593214988708496)","(0.00567296810414547, 0.005245814103896283)"
66,6,6,"(0.01502835750579834, 0.0005058348178863525)","(0.04039235850483348, 0.005750677187022632)"
67,6,7,"(0.0028961896896362305, 0.0009200870990753174)","(0.016710751120252085, 0.005443863455420244)"
68,6,8,"(0.0013285577297210693, 0.0008602738380432129)","(0.9256053745291734, 0.0644711963357117)"
69,6,9,"(0.24776634573936462, 0.0004897713661193848)","(0.9210683426135439, 0.010500658725197344)"
70,7,0,"(0.0006550252437591553, 0.0004430711269378662)","(0.006328811056354814, 0.005499031812215607)"
71,7,1,"(0.0004966557025909424, 0.00044670701026916504)","(0.0063041734248986585, 0.005222528114852446)"
72,7,2,"(0.0006071031093597412, 0.00048798322677612305)","(0.0067987646467057225, 0.005650242179529939)"
73,7,3,"(0.0016316473484039307, 0.0004620552062988281)","(0.06733649260799175, 0.005842078956919645)"
74,7,4,"(0.002778857946395874, 0.0005481839179992676)","(0.007465874650887546, 0.0057389003797786685)"
75,7,5,"(0.0700887143611908, 0.000518500804901123)","(0.9111485211103912, 0.00848870607806302)"
76,7,6,"(0.001149982213973999, 0.0005848109722137451)","(0.013122425829433793, 0.005448577095389361)"
77,7,7,"(0.0016164183616638184, 0.00040796399116516113)","(0.00791474641531327, 0.005679480980012951)"
78,7,8,"(0.0007061362266540527, 0.00041919946670532227)","(0.005179535863152352, 0.005307349607361582)"
79,7,9,"(0.0014401078224182129, 0.0005022585391998291)","(0.005937296798804993, 0.00515015714307867)"
80,8,0,"(0.838616132736206, 0.0005312860012054443)","(0.9516644669102109, 0.007153608260560074)"
81,8,1,"(0.0007045567035675049, 0.0005448460578918457)","(0.014892541107932328, 0.011309562291609855)"
82,8,2,"(0.014952123165130615, 0.0004894137382507324)","(0.309566320930368, 0.005552567698900948)"
83,8,3,"(0.0005060136318206787, 0.0005041658878326416)","(0.006253343313611007, 0.005399161467087653)"
84,8,4,"(0.8282179236412048, 0.00515294075012207)","(0.5211993544512221, 0.13569086015171974)"
85,8,5,"(0.0061876773834228516, 0.0004291534423828125)","(0.007952656100866644, 0.006745328174741951)"
86,8,6,"(0.0061876773834228516, 0.0004762709140777588)","(0.007952656100866644, 0.007282290397309278)"
87,8,7,"(0.0030115842819213867, 0.00042176246643066406)","(0.007431470843196146, 0.005223335773453509)"
88,8,8,"(0.002632349729537964, 0.00043585896492004395)","(0.005042076006623853, 0.005188100640445025)"
89,8,9,"(0.0011728107929229736, 0.0005023777484893799)","(0.007465613181767918, 0.0058595468368656395)"
90,9,0,"(0.16269424557685852, 0.0005744099617004395)","(0.8638194487769218, 0.009098139478806588)"
91,9,1,"(0.001083463430404663, 0.00041556358337402344)","(0.005011734565116614, 0.005069869515859125)"
92,9,2,"(0.0007462203502655029, 0.00043210387229919434)","(0.005668091008451063, 0.0051023011891941795)"
93,9,3,"(0.0019152462482452393, 0.0005216002464294434)","(0.00546666855816083, 0.005496818298157614)"
94,9,4,"(0.05505692958831787, 0.0004432499408721924)","(0.23890306390394872, 0.005466855218498738)"
