,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9736879467964172, 0.0007798969745635986)","(0.6262473601901739, 0.01971534932910133)"
1,0,1,"(0.000769495964050293, 0.00045186281204223633)","(0.005742092779802361, 0.00516454764801402)"
2,0,2,"(0.0006703734397888184, 0.022297173738479614)","(0.005181927075774081, 0.0067252694105118995)"
3,0,3,"(0.0012342333793640137, 0.0004615187644958496)","(0.11954650628457691, 0.00517136782857263)"
4,0,4,"(0.9750214517116547, 0.0004718601703643799)","(0.9655976903658273, 0.005621171710902249)"
5,0,5,"(0.9574524164199829, 0.0004741847515106201)","(0.9352968527756923, 0.008024676945351592)"
6,0,6,"(0.016087085008621216, 0.00048744678497314453)","(0.04618775337921249, 0.006222327352841351)"
7,0,7,"(0.0006701946258544922, 0.0005826652050018311)","(0.19852525542087454, 0.01714251471680069)"
8,0,8,"(0.000958561897277832, 0.00048613548278808594)","(0.007093646930393084, 0.00520052399972625)"
9,0,9,"(0.09698227047920227, 0.0005913972854614258)","(0.13591886538541315, 0.010263403517628944)"
10,1,0,"(0.0005677342414855957, 0.00045549869537353516)","(0.00545029567710866, 0.0051804081721995195)"
11,1,1,"(0.9834027588367462, 0.0004830360412597656)","(0.9805386029652773, 0.0056496099654420335)"
12,1,2,"(0.0005889236927032471, 0.00045496225357055664)","(0.00545634471686595, 0.005120808161636918)"
13,1,3,"(0.0007856786251068115, 0.00042688846588134766)","(0.007667605129446435, 0.005665092617650479)"
14,1,4,"(0.0005537569522857666, 0.00041562318801879883)","(0.005818726431502178, 0.0050497821158023825)"
15,1,5,"(0.000663459300994873, 0.00045806169509887695)","(0.0061419011345026624, 0.004990455489968207)"
16,1,6,"(0.014630436897277832, 0.0005233883857727051)","(0.7485635121576243, 0.006014441379639861)"
17,1,7,"(0.005253046751022339, 0.0004590153694152832)","(0.007464323635963612, 0.005682430364276018)"
18,1,8,"(0.9469482898712158, 0.0005616247653961182)","(0.924959225815863, 0.006110782872471977)"
19,1,9,"(0.003587007522583008, 0.0004450380802154541)","(0.149814547257178, 0.0059300683879280735)"
20,2,0,"(0.001792997121810913, 0.00046893954277038574)","(0.012244862039634052, 0.004904779619581295)"
21,2,1,"(0.01807612180709839, 0.00044092535972595215)","(0.06622846139809724, 0.009987558194296656)"
22,2,2,"(0.9827015101909637, 0.0005033910274505615)","(0.9780107032491512, 0.005980593591752929)"
23,2,3,"(0.0006055533885955811, 0.000497668981552124)","(0.015242686963481685, 0.00749031966915809)"
24,2,4,"(0.0011269748210906982, 0.0005030930042266846)","(0.060938169366516415, 0.0055494669224310286)"
25,2,5,"(0.0007655918598175049, 0.00041615962982177734)","(0.011263598536060704, 0.0051534050927233965)"
26,2,6,"(0.0020002126693725586, 0.000443190336227417)","(0.9776308969711558, 0.0056137403662161935)"
