,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9811191558837891, 0.00044924020767211914)","(0.9779905949590213, 0.006326880177841302)"
1,0,1,"(0.10375919938087463, 0.0005146265029907227)","(0.1218402331383623, 0.006033682505504553)"
2,0,2,"(0.0005779862403869629, 0.0005108118057250977)","(0.005699031823078029, 0.005710405098138338)"
3,0,3,"(0.0007316470146179199, 0.0004996955394744873)","(0.0187215398660681, 0.005583455924336813)"
4,0,4,"(0.003565877676010132, 0.00048667192459106445)","(0.009700883042390984, 0.005223246578057764)"
5,0,5,"(0.970226526260376, 0.000489652156829834)","(0.9739766201176187, 0.005431650146240303)"
6,0,6,"(0.000878453254699707, 0.0004863739013671875)","(0.007210416075296113, 0.0056282739067334666)"
7,0,7,"(0.0794476866722107, 0.0005452632904052734)","(0.2453440859802789, 0.005282015319586981)"
8,0,8,"(0.0046294331550598145, 0.00042682886123657227)","(0.01816868751809106, 0.005439796200152639)"
9,0,9,"(0.0017806291580200195, 0.00040528178215026855)","(0.007284465889853979, 0.005384659592591427)"
10,1,0,"(0.0011177659034729004, 0.00045609474182128906)","(0.0677619560705484, 0.006546666488827399)"
11,1,1,"(0.0009067952632904053, 0.0004855990409851074)","(0.005970705738944488, 0.006110290564966561)"
12,1,2,"(0.9640995562076569, 0.00043842196464538574)","(0.9525415124905184, 0.005504677806218164)"
13,1,3,"(0.9587344527244568, 0.00046265125274658203)","(0.917824563499335, 0.006478572896846282)"
14,1,4,"(0.9721510112285614, 0.00047716498374938965)","(0.9729946396412591, 0.005556086454048361)"
15,1,5,"(0.05480232834815979, 0.00046062469482421875)","(0.10696483108212473, 0.006132599725830612)"
16,1,6,"(0.0007376372814178467, 0.0004360973834991455)","(0.006232381210752789, 0.005105836414556524)"
17,1,7,"(0.005310088396072388, 0.00044918060302734375)","(0.07486713308518661, 0.007914941114766942)"
18,1,8,"(0.025431156158447266, 0.0006803572177886963)","(0.016398632541620384, 0.005115755295719706)"
19,1,9,"(0.0036149919033050537, 0.0004477202892303467)","(0.024899260721532847, 0.005502720362865149)"
20,2,0,"(0.9737792313098907, 0.00044402480125427246)","(0.9707064051897123, 0.005260378157687848)"
21,2,1,"(0.14544770121574402, 0.0004577040672302246)","(0.9610571190364409, 0.006930294248763443)"
22,2,2,"(0.1344662606716156, 0.0004418790340423584)","(0.21395440160346843, 0.005212123911235892)"
23,2,3,"(0.09165999293327332, 0.0004411637783050537)","(0.8708096470863362, 0.005700593805137296)"
24,2,4,"(0.9768989682197571, 0.0005277693271636963)","(0.9734245068686881, 0.06728992582751041)"
25,2,5,"(0.007832974195480347, 0.0010422170162200928)","(0.9208769783859315, 0.0643081453332042)"
26,2,6,"(0.9788350462913513, 0.0071964263916015625)","(0.9790552606037611, 0.008310840965484794)"
27,2,7,"(0.015384376049041748, 0.006155550479888916)","(0.12778715993147172, 0.00928632851287817)"
28,2,8,"(0.00360870361328125, 0.00045359134674072266)","(0.020750718424577656, 0.00559464229286859)"
29,2,9,"(0.0032435953617095947, 0.0005065500736236572)","(0.05033011978883828, 0.005873446032324244)"
30,3,0,"(0.0800868570804596, 0.0021481215953826904)","(0.21807854809002766, 0.009889202872737136)"
31,3,1,"(0.8042217493057251, 0.0007010400295257568)","(0.8023174784409813, 0.03462413797562098)"
32,3,2,"(0.0014708638191223145, 0.0004437267780303955)","(0.006242492624210783, 0.005053813391372366)"
33,3,3,"(0.0007352828979492188, 0.0004209280014038086)","(0.005489560857569041, 0.005752408689451733)"
34,3,4,"(0.00228235125541687, 0.0004081428050994873)","(0.006300506309872894, 0.005375570665696382)"
35,3,5,"(0.9797669947147369, 0.00048232078552246094)","(0.9741930394673758, 0.005373472840362886)"
36,3,6,"(0.8349220752716064, 0.0005712509155273438)","(0.9657966455509901, 0.005517054410488903)"
37,3,7,"(0.0005882680416107178, 0.00045949220657348633)","(0.010547303744961612, 0.0070590876508503765)"
38,3,8,"(0.0008096098899841309, 0.0005849301815032959)","(0.006012112838349294, 0.005251913908048673)"
