,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9755157828330994, 0.0005277097225189209)","(0.9725425103403432, 0.009030924687051882)"
1,0,1,"(0.9647731482982635, 0.0005373656749725342)","(0.9573344176115711, 0.010452091968991627)"
2,0,2,"(0.0006085336208343506, 0.021159589290618896)","(0.005652661851664995, 0.007120993825208276)"
3,0,3,"(0.9526146948337555, 0.0004738271236419678)","(0.8638271613713668, 0.012539971547246306)"
4,0,4,"(0.07187002897262573, 0.0005588233470916748)","(0.07016660692916062, 0.008007833746155144)"
5,0,5,"(0.0847252607345581, 0.00046750903129577637)","(0.7891321276790348, 0.00544719486821994)"
6,0,6,"(0.007200360298156738, 0.0004684627056121826)","(0.02217789861878205, 0.006439093933968275)"
7,0,7,"(0.0009148120880126953, 0.000517427921295166)","(0.021344913894525003, 0.006359655292722783)"
8,0,8,"(0.980743944644928, 0.0004762113094329834)","(0.9739310776143425, 0.005281581910415746)"
9,0,9,"(0.9835974872112274, 0.0004970729351043701)","(0.9768368050907873, 0.0070519287640127)"
10,1,0,"(0.8384523689746857, 0.0005008280277252197)","(0.10790073531387459, 0.007816424985216954)"
11,1,1,"(0.7833332419395447, 0.0005438923835754395)","(0.5389995085819861, 0.005272013342197484)"
12,1,2,"(0.0008458495140075684, 0.00045609474182128906)","(0.00667731980259762, 0.00500989210381818)"
13,1,3,"(0.0008078217506408691, 0.0065164268016815186)","(0.010155862351646883, 0.07481666738769918)"
14,1,4,"(0.0008602738380432129, 0.00041413307189941406)","(0.005085445591377127, 0.005225355463580926)"
15,1,5,"(0.0011941194534301758, 0.00041562318801879883)","(0.007461875873727553, 0.0053220684437697095)"
16,1,6,"(0.005594372749328613, 0.0005247592926025391)","(0.009461680031832707, 0.0068726929690805655)"
17,1,7,"(0.003984332084655762, 0.0004932880401611328)","(0.9795327314863745, 0.005828270132392292)"
18,1,8,"(0.8386057317256927, 0.0007952749729156494)","(0.9608141585656349, 0.03090627342856564)"
19,1,9,"(0.02078142762184143, 0.0005041658878326416)","(0.057449058824173026, 0.012882258928525061)"
20,2,0,"(0.9421442449092865, 0.00046756863594055176)","(0.7546697968184035, 0.0052241286880107575)"
21,2,1,"(0.05112940073013306, 0.0005228519439697266)","(0.0894467763047697, 0.0055648613809013295)"
22,2,2,"(0.0021125972270965576, 0.00043323636054992676)","(0.005067952895520578, 0.005147612018476304)"
23,2,3,"(0.9812043905258179, 0.0004367530345916748)","(0.9716956122517397, 0.005702461716009433)"
24,2,4,"(0.005389958620071411, 0.0004366934299468994)","(0.013684141378530936, 0.006257048378975021)"
25,2,5,"(0.027420729398727417, 0.0005168914794921875)","(0.06391006957103008, 0.006010326426021272)"
26,2,6,"(0.9598153233528137, 0.0005613863468170166)","(0.9178980086932923, 0.014607850155360261)"
27,2,7,"(0.0007973611354827881, 0.001791834831237793)","(0.017599565813536215, 0.006362663206978048)"
28,2,8,"(0.9803520143032074, 0.0005210041999816895)","(0.9771830581212443, 0.005273618995336341)"
29,2,9,"(0.0005580484867095947, 0.0004919767379760742)","(0.005482130960432304, 0.005230709539350007)"
30,3,0,"(0.2411629855632782, 0.000495612621307373)","(0.913666217998018, 0.009143643518095983)"
31,3,1,"(0.001513361930847168, 0.0004591941833496094)","(0.0048265233524579084, 0.0058095397667189495)"
32,3,2,"(0.001632004976272583, 0.0004397928714752197)","(0.006395780066030257, 0.005455472767773351)"
33,3,3,"(0.0018746554851531982, 0.0004252195358276367)","(0.006406537305778577, 0.0052999588739280476)"
34,3,4,"(0.00272408127784729, 0.000472337007522583)","(0.010946074384726412, 0.0053424754641290245)"
35,3,5,"(0.9725310802459717, 0.0004749000072479248)","(0.9704295079153205, 0.005410203835790068)"
36,3,6,"(0.0008628368377685547, 0.00047716498374938965)","(0.006693795662561486, 0.005792596301168326)"
37,3,7,"(0.0067993104457855225, 0.00041040778160095215)","(0.005726447052609559, 0.005016275839449435)"
38,3,8,"(0.012874335050582886, 0.0004538893699645996)","(0.011084128253443425, 0.006254300493561632)"
39,3,9,"(0.0014083683490753174, 0.0004412233829498291)","(0.008494254352966748, 0.005251057020169572)"
40,4,0,"(0.0019347071647644043, 0.0005159378051757812)","(0.025944550617617277, 0.006953146095603634)"
41,4,1,"(0.0028437376022338867, 0.0004150867462158203)","(0.18816163732052962, 0.005191030105758495)"
