,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9819325804710388, 0.010678142309188843)","(0.9691224200581556, 0.12893242281641348)"
1,0,1,"(0.9460782110691071, 0.21822434663772583)","(0.9027981473088024, 0.1163476198426129)"
2,0,2,"(0.9778933823108673, 0.0008648037910461426)","(0.9765062399540007, 0.005185519643702061)"
3,0,3,"(0.9813464283943176, 0.9712714850902557)","(0.9014248021850636, 0.1662538795011904)"
4,0,4,"(0.9740245640277863, 0.0988309383392334)","(0.9673618124253193, 0.43659026794634875)"
5,0,5,"(0.9751816689968109, 0.005483508110046387)","(0.9775431145560401, 0.006757904667367078)"
6,0,6,"(0.8220036327838898, 0.0007636845111846924)","(0.9115652848158233, 0.0054593471444183)"
7,0,7,"(0.8395039439201355, 0.0005272924900054932)","(0.5227985155129551, 0.02175774995609621)"
8,0,8,"(0.9723577499389648, 0.001925826072692871)","(0.957174062612514, 0.033271448699674334)"
9,0,9,"(0.9801147878170013, 0.01464352011680603)","(0.9789332999591215, 0.0874738758017237)"
10,1,0,"(0.9746094346046448, 0.9481455385684967)","(0.8358739728728841, 0.9292363357448821)"
11,1,1,"(0.9805189073085785, 0.04744955897331238)","(0.964027361598665, 0.25163245943705037)"
12,1,2,"(0.9742028713226318, 0.0006063878536224365)","(0.9431643246577958, 0.005277219726579316)"
13,1,3,"(0.9805676341056824, 0.00124436616897583)","(0.9765952701522587, 0.005343184997643384)"
14,1,4,"(0.9779450595378876, 0.9769509732723236)","(0.9783564184707431, 0.9799905703005369)"
15,1,5,"(0.9821388125419617, 0.0004639625549316406)","(0.9785044092788693, 0.011061660134174037)"
16,1,6,"(0.9669191539287567, 0.04165777564048767)","(0.07326682040474389, 0.06412806235173235)"
17,1,7,"(0.9475982487201691, 0.00046122074127197266)","(0.9448475837775576, 0.00687381590838825)"
18,1,8,"(0.8345464169979095, 0.0005100667476654053)","(0.9624521974135938, 0.005387942194764041)"
19,1,9,"(0.9578791558742523, 0.004086315631866455)","(0.8612470585283641, 0.1003183412806582)"
20,2,0,"(0.9784688055515289, 0.9715301394462585)","(0.9768876433557466, 0.9209377930208925)"
21,2,1,"(0.9809580743312836, 0.0014510750770568848)","(0.9713091912317557, 0.005746060563976653)"
22,2,2,"(0.9500749111175537, 0.004220485687255859)","(0.934335960532336, 0.04800534825393615)"
23,2,3,"(0.9827688634395599, 0.9773214757442474)","(0.9696421430737571, 0.9569586531714235)"
24,2,4,"(0.9798183143138885, 0.001206815242767334)","(0.9787316049450482, 0.005338670923030127)"
25,2,5,"(0.9696599245071411, 0.0005933642387390137)","(0.9652475281680821, 0.005704246395900649)"
26,2,6,"(0.9751909673213959, 0.02485617995262146)","(0.8823920444727356, 0.09333800051823936)"
27,2,7,"(0.9689264297485352, 0.00045114755630493164)","(0.9517504199488248, 0.005676059448142892)"
28,2,8,"(0.9396275877952576, 0.0005317628383636475)","(0.9533145939910123, 0.005307699524921141)"
29,2,9,"(0.9789767861366272, 0.03522953391075134)","(0.971744279102388, 0.031544113787432125)"
30,3,0,"(0.7829174399375916, 0.005627185106277466)","(0.14364772274965382, 0.022259125139452576)"
31,3,1,"(0.9812995195388794, 0.0014535784721374512)","(0.9763108099237943, 0.03200809142044976)"
32,3,2,"(0.9780484139919281, 0.00037285685539245605)","(0.9786063583395872, 0.005139469686130888)"
33,3,3,"(0.9754354655742645, 0.00037723779678344727)","(0.9502753661680008, 0.005143799117622719)"
34,3,4,"(0.9680497050285339, 0.9803896248340607)","(0.9580641316782841, 0.9776075580464072)"
35,3,5,"(0.9707318246364594, 0.0010882019996643066)","(0.9496785402318607, 0.02820350837050263)"
36,3,6,"(0.9742504358291626, 0.0005395412445068359)","(0.9775555887908444, 0.005077909372336223)"
37,3,7,"(0.9775857925415039, 0.00038927793502807617)","(0.9495342240037906, 0.005260991999948824)"
38,3,8,"(0.9813500642776489, 0.906567394733429)","(0.9711566209948413, 0.9007480929900343)"
39,3,9,"(0.9809663891792297, 0.8225676417350769)","(0.9757444222990378, 0.8715239891771903)"
40,4,0,"(0.9786684513092041, 0.001550912857055664)","(0.9459007414117648, 0.01730993118147855)"
41,4,1,"(0.9785495102405548, 0.015705972909927368)","(0.8093747802283998, 0.08459298791751961)"
42,4,2,"(0.8345522582530975, 0.0019933581352233887)","(0.15368093234056454, 0.0841620040065815)"
